strategy,scoring,seed,pts,rank
no_punt_opp,vona,3,54,6
no_punt_opp,vona,4,54,6
no_punt_opp,vona,5,55,6
no_punt_opp,vona,6,57,5
no_punt_opp,vona,7,54,6
no_punt_opp,vona,8,52,8
no_punt_opp,vona,9,53,8
avg_anchor,var,0,65,1
avg_anchor,var,1,71,1
avg_anchor,var,2,61,3
avg_anchor,var,3,65,1
avg_anchor,var,4,62,1
avg_anchor,var,5,63,1
avg_anchor,var,6,65,1
avg_anchor,var,7,64,1
avg_anchor,var,8,66,1
avg_anchor,var,9,64,1
avg_anchor,vona,0,51,8
avg_anchor,vona,1,61,3
avg_anchor,vona,2,52,6
avg_anchor,vona,3,56,5
avg_anchor,vona,4,62,2
avg_anchor,vona,5,58,6
avg_anchor,vona,6,51,8
avg_anchor,vona,7,57,4
avg_anchor,vona,8,59,4
avg_anchor,vona,9,55,5
closers_avg,var,0,57,5
closers_avg,var,1,61,1
closers_avg,var,2,63,1
closers_avg,var,3,65,2
closers_avg,var,4,63,1
closers_avg,var,5,67,1
closers_avg,var,6,57,4
closers_avg,var,7,46,10
closers_avg,var,8,46,10
closers_avg,var,9,59,6
closers_avg,vona,0,56,7
closers_avg,vona,1,62,1
closers_avg,vona,2,56,4
closers_avg,vona,3,53,7
closers_avg,vona,4,56,5
closers_avg,vona,5,59,4
closers_avg,vona,6,55,5
closers_avg,vona,7,54,6
closers_avg,vona,8,53,7
closers_avg,vona,9,55,7
balanced,var,0,70,1
balanced,var,1,63,2
balanced,var,2,67,1
balanced,var,3,65,1
balanced,var,4,67,1
balanced,var,5,65,1
balanced,var,6,64,1
balanced,var,7,70,1
balanced,var,8,65,1
balanced,var,9,70,1
balanced,vona,0,52,7
balanced,vona,1,55,6
balanced,vona,2,52,7
balanced,vona,3,52,7
balanced,vona,4,56,7
balanced,vona,5,52,7
balanced,vona,6,54,7
balanced,vona,7,55,6
balanced,vona,8,53,8
balanced,vona,9,55,6
anti_fragile,var,0,48,9
anti_fragile,var,1,51,7
anti_fragile,var,2,50,8
anti_fragile,var,3,49,8
anti_fragile,var,4,48,9
anti_fragile,var,5,47,9
anti_fragile,var,6,47,10
anti_fragile,var,7,48,9
anti_fragile,var,8,53,7
anti_fragile,var,9,45,10
anti_fragile,vona,0,53,7
anti_fragile,vona,1,53,7
anti_fragile,vona,2,55,6
anti_fragile,vona,3,53,8
anti_fragile,vona,4,53,6
anti_fragile,vona,5,55,8
anti_fragile,vona,6,57,6
anti_fragile,vona,7,58,5
anti_fragile,vona,8,53,7
anti_fragile,vona,9,53,7
