strategy,scoring,seed,pts,rank
no_punt_stagger,vona,5,65,1
no_punt_stagger,vona,6,65,1
no_punt_stagger,vona,7,65,1
no_punt_stagger,vona,8,65,1
no_punt_stagger,vona,9,65,1
no_punt_cap3,var,0,64,1
no_punt_cap3,var,1,64,1
no_punt_cap3,var,2,64,1
no_punt_cap3,var,3,64,1
no_punt_cap3,var,4,64,1
no_punt_cap3,var,5,64,1
no_punt_cap3,var,6,64,1
no_punt_cap3,var,7,64,1
no_punt_cap3,var,8,64,1
no_punt_cap3,var,9,64,1
no_punt_cap3,vona,0,66,1
no_punt_cap3,vona,1,66,1
no_punt_cap3,vona,2,66,1
no_punt_cap3,vona,3,66,1
no_punt_cap3,vona,4,66,1
no_punt_cap3,vona,5,66,1
no_punt_cap3,vona,6,66,1
no_punt_cap3,vona,7,66,1
no_punt_cap3,vona,8,66,1
no_punt_cap3,vona,9,66,1
avg_anchor,vona,0,62,2
avg_anchor,vona,1,62,2
avg_anchor,vona,2,62,2
avg_anchor,vona,3,62,2
avg_anchor,vona,4,62,2
avg_anchor,vona,5,62,2
avg_anchor,vona,6,62,2
avg_anchor,vona,7,62,2
avg_anchor,vona,8,62,2
avg_anchor,vona,9,62,2
closers_avg,vona,0,66,1
closers_avg,vona,1,66,1
closers_avg,vona,2,66,1
closers_avg,vona,3,66,1
closers_avg,vona,4,66,1
closers_avg,vona,5,66,1
closers_avg,vona,6,66,1
closers_avg,vona,7,66,1
closers_avg,vona,8,66,1
closers_avg,vona,9,66,1
balanced,var,0,67,1
balanced,var,1,67,1
balanced,var,2,67,1
balanced,var,3,67,1
balanced,var,4,67,1
balanced,var,5,67,1
balanced,var,6,67,1
balanced,var,7,67,1
balanced,var,8,67,1
balanced,var,9,67,1
balanced,vona,0,68,1
balanced,vona,1,68,1
balanced,vona,2,68,1
balanced,vona,3,68,1
balanced,vona,4,68,1
balanced,vona,5,68,1
balanced,vona,6,68,1
balanced,vona,7,68,1
balanced,vona,8,68,1
balanced,vona,9,68,1
anti_fragile,var,0,53,7
anti_fragile,var,1,53,7
anti_fragile,var,2,53,7
anti_fragile,var,3,53,7
anti_fragile,var,4,53,7
anti_fragile,var,5,53,7
anti_fragile,var,6,53,7
anti_fragile,var,7,53,7
anti_fragile,var,8,53,7
anti_fragile,var,9,53,7
anti_fragile,vona,0,48,10
anti_fragile,vona,1,48,10
anti_fragile,vona,2,48,10
anti_fragile,vona,3,48,10
anti_fragile,vona,4,48,10
anti_fragile,vona,5,48,10
anti_fragile,vona,6,48,10
anti_fragile,vona,7,48,10
anti_fragile,vona,8,48,10
anti_fragile,vona,9,48,10
