strategy,scoring,seed,pts,rank
no_punt_opp,var,9,60,3
no_punt_opp,vona,0,62,2
no_punt_opp,vona,1,65,1
no_punt_opp,vona,2,66,1
no_punt_opp,vona,3,68,1
no_punt_opp,vona,4,63,2
no_punt_opp,vona,5,70,1
no_punt_opp,vona,6,64,1
no_punt_opp,vona,7,68,1
no_punt_opp,vona,8,68,1
no_punt_opp,vona,9,62,1
avg_anchor,var,0,63,1
avg_anchor,var,1,69,1
avg_anchor,var,2,60,3
avg_anchor,var,3,68,1
avg_anchor,var,4,64,1
avg_anchor,var,5,66,1
avg_anchor,var,6,65,1
avg_anchor,var,7,60,2
avg_anchor,var,8,63,1
avg_anchor,var,9,65,1
avg_anchor,vona,0,70,1
avg_anchor,vona,1,68,1
avg_anchor,vona,2,66,1
avg_anchor,vona,3,68,1
avg_anchor,vona,4,70,1
avg_anchor,vona,5,70,1
avg_anchor,vona,6,70,1
avg_anchor,vona,7,63,2
avg_anchor,vona,8,67,1
avg_anchor,vona,9,70,1
closers_avg,var,0,55,5
closers_avg,var,1,61,2
closers_avg,var,2,54,7
closers_avg,var,3,60,4
closers_avg,var,4,65,2
closers_avg,var,5,61,3
closers_avg,var,6,62,2
closers_avg,var,7,64,1
closers_avg,var,8,53,7
closers_avg,var,9,60,2
closers_avg,vona,0,63,3
closers_avg,vona,1,68,1
closers_avg,vona,2,66,1
closers_avg,vona,3,71,1
closers_avg,vona,4,64,2
closers_avg,vona,5,69,1
closers_avg,vona,6,67,1
closers_avg,vona,7,68,1
closers_avg,vona,8,69,1
closers_avg,vona,9,67,1
balanced,var,0,68,1
balanced,var,1,65,2
balanced,var,2,70,1
balanced,var,3,64,1
balanced,var,4,63,1
balanced,var,5,67,1
balanced,var,6,70,1
balanced,var,7,72,1
balanced,var,8,65,1
balanced,var,9,68,1
balanced,vona,0,55,7
balanced,vona,1,59,3
balanced,vona,2,55,7
balanced,vona,3,56,7
balanced,vona,4,54,7
balanced,vona,5,52,7
balanced,vona,6,50,7
balanced,vona,7,55,7
balanced,vona,8,54,6
balanced,vona,9,54,7
anti_fragile,var,0,48,9
anti_fragile,var,1,52,8
anti_fragile,var,2,52,7
anti_fragile,var,3,49,8
anti_fragile,var,4,44,10
anti_fragile,var,5,50,7
anti_fragile,var,6,45,10
anti_fragile,var,7,46,10
anti_fragile,var,8,44,10
anti_fragile,var,9,56,5
anti_fragile,vona,0,54,6
anti_fragile,vona,1,58,6
anti_fragile,vona,2,53,7
anti_fragile,vona,3,56,7
anti_fragile,vona,4,52,6
anti_fragile,vona,5,50,9
anti_fragile,vona,6,59,3
anti_fragile,vona,7,52,7
anti_fragile,vona,8,51,9
anti_fragile,vona,9,51,8
