Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jakob Marsee","MIA",48,206,176,39,26,7,1,4,25,19,24,0,46,3,1,1,,13,4,0.220521,0.117965,0.223743,0.527234,0.324544,0.345561,0.303233,0.670106,0.125041,6.54156,0.273175,0.107502,0.777176,22.2743,-2.30979,88.2242,0.884679,0.0460035,-2.0556111335754395,0.7802627608180046,0.54965,137.0800018310547,,,,,,,200.5,4.177083333,200.5,4.177083333,,,,,,,,,,,,,,,,,,,"Jakob Marsee","31370",805300
"Jake Cronenworth","SDP",53,228,198,46,30,9,1,5,27,22,23,0,45,4,2,1,,2,1,0.229808,0.0992565,0.198376,0.500344,0.319552,0.362217,0.305014,0.681769,0.132408,4.34547,0.270405,0.0218607,-0.168362,25.0011,-2.22846,94.4338,-0.146502,-0.399195,-1.6858757734298706,-0.3513553589582443,0.545681,738.2999877929688,,,,,,,220.4,4.158490566,220.4,4.158490566,,,,,,,,,,,,,,,,,,,"Jake Cronenworth","18036",630105
"Tyler O'Neill","BAL",34,145,128,30,18,5,0,7,18,20,14,0,41,2,1,0,,2,0,0.236568,0.0955506,0.283884,0.336583,0.317323,0.438227,0.328733,0.75555,0.201659,4.04338,0.291127,0.0050325,0.0543925,18.7132,1.37823,111.123,0.059425,-0.0352236,1.9565122164785862,-1.7767359167337418,0.540663,477.6400146484375,,,,,,,172.1,5.061764705,172.1,5.061764705,,,,,,,,,,,,,,,,,,,"Tyler O'Neill","15711",641933
"Logan O'Hoppe","LAA",34,135,122,29,19,5,0,5,15,16,10,0,34,2,1,1,,1,0,0.237889,0.0766152,0.252557,0.303358,0.303887,0.407478,0.311315,0.711365,0.169589,2.6594,0.284668,-0.144178,-0.167126,15.5084,-0.628922,96.4223,-0.311304,-1.41061,-0.8793648779392242,1.2251923084259033,0.521342,246.50999450683594,,,,,,,139.8,4.111764705,139.8,4.111764705,,,,,,,,,,,,,,,,,,,"Logan O'Hoppe","24729",681351
"Alec Burleson","STL",56,242,221,60,40,11,0,8,28,30,17,1,36,2,2,0,,2,1,0.270433,0.0709131,0.148297,0.478183,0.325053,0.434598,0.32996,0.759651,0.164165,3.14642,0.288547,-0.164825,-0.167015,31.5161,2.54526,109.571,-0.33184,-0.795995,2.4843170940876007,-5.239050388336182,0.52124,175.19000244140625,,,,,,,280.1,5.001785714,280.1,5.001785714,,,,,,,,,,,,,,,,,,,"Alec Burleson","27615",676475
"Jake Bauers","MIL",40,174,151,35,21,6,1,7,22,22,21,1,50,1,1,0,,4,1,0.232312,0.118417,0.284596,0.416089,0.328133,0.426968,0.33063,0.755101,0.194656,4.64388,0.291905,-0.124404,0.166525,22.7469,1.9243,108.644,0.042121,0.230209,1.8700990304350853,-2.4200991094112396,0.519125,999,,,,,,,204.7,5.1175,204.7,5.1175,,,,,,,,,,,,,,,,,,,"Jake Bauers","15194",641343
"Brooks Lee","MIN",54,232,212,53,36,11,1,6,26,25,16,0,40,1,2,1,,3,1,0.249842,0.069081,0.171853,0.401977,0.303451,0.389431,0.303769,0.692882,0.139589,4.09108,0.280075,-0.120947,-0.179879,25.2313,-2.50467,91.6314,-0.300826,-1.66602,-2.584632456302643,-0.6116956472396851,0.513029,542.5700073242188,,,,,,,232.7,4.309259259,232.7,4.309259259,,,,,,,,,,,,,,,,,,,"Brooks Lee","31595",686797
"Heliot Ramos","SFG",54,233,211,53,35,10,1,8,28,28,17,1,58,3,2,1,,2,1,0.25226,0.0715756,0.2497,0.286647,0.313216,0.419379,0.319327,0.732595,0.167119,4.16004,0.309311,-0.0515863,-0.229108,28.303,0.43271,102.692,-0.280694,-0.379303,0.4812212884426117,-3.029611647129059,0.511714,218.8000030517578,,,,,,,256.7,4.753703703,256.7,4.753703703,,,,,,,,,,,,,,,,,,,"Heliot Ramos","22515",671218
"Tommy Edman","LAD",46,200,182,44,29,9,1,5,23,21,14,0,38,2,2,1,,5,1,0.240217,0.070309,0.190784,0.368528,0.29993,0.375104,0.297527,0.675034,0.134887,5.2592,0.277083,0.0496177,0.423858,20.7735,-3.18024,86.2301,0.473476,0.808988,-2.876547008752823,1.373802661895752,0.509275,730.1199951171875,,,,,,,197.9,4.302173913,197.9,4.302173913,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Oswald Peraza","LAA",45,192,174,40,27,7,1,5,20,20,13,0,50,3,1,1,,8,2,0.231924,0.0657771,0.259446,0.253529,0.293315,0.373078,0.294135,0.666393,0.141154,5.5913,0.290561,0.0124578,0.634756,19.4226,-3.58558,84.5448,0.647214,0.361045,-2.8515931963920593,1.0105824768543243,0.507475,999,,,,,,,180.6,4.013333333,180.6,4.013333333,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Nathan Lukes","TOR",41,177,160,41,29,8,0,3,20,18,13,0,29,2,1,1,,2,1,0.257745,0.0716741,0.165963,0.431869,0.3162,0.376041,0.30587,0.69224,0.118295,3.57803,0.294469,-0.000726391,-0.200853,19.5359,-1.60712,94.4643,-0.201579,1.79128,-1.353176698088646,0.04992640018463135,0.505591,999,,,,,,,167,4.073170731,167,4.073170731,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Jacob Young","WSN",46,200,181,43,32,8,1,3,20,16,13,0,37,3,2,1,,10,2,0.237681,0.066038,0.182594,0.361666,0.298474,0.332488,0.282447,0.630962,0.0948075,5.69492,0.281538,0.143485,0.606662,18.3164,-5.63741,75.6472,0.750147,2.83194,-5.1745588183403015,3.5473682284355164,0.496701,746.0700073242188,,,,,,,178.3,3.876086956,178.3,3.876086956,,,,,,,,,,,,,,,,,,,"Jacob Young","29931",696285
"Ryan Kreidler","MIN",37,158,139,31,19,7,1,4,18,16,15,0,46,2,1,1,,4,2,0.221934,0.0975351,0.289113,0.33736,0.306549,0.36694,0.299806,0.673488,0.145006,5.46943,0.297631,0.00327317,-0.0563701,16.6933,-2.21757,88.8913,-0.0530969,-0.168902,-2.120079167187214,1.3184440582990646,0.488998,999,,,,,,,151.2,4.086486486,151.2,4.086486486,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Owen Caissie","MIA",34,145,129,32,19,7,1,5,18,18,13,0,46,1,1,1,,2,1,0.24621,0.0927166,0.317095,0.292394,0.320543,0.428096,0.326536,0.748639,0.181885,4.18718,0.338113,0.00818293,-0.160857,18.4542,1.11926,103.832,-0.152674,1.53974,0.5220006704330444,-0.42769789695739746,0.487969,528.5,,,,,,,166.2,4.888235294,166.2,4.888235294,,,,,,,,,,,,,,,,,,,"Owen Caissie","27496",683357
