Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Maikel Garcia,Royals,157,626,575,133,7,84,58,37,0.231,672580
Bryan De La Cruz,Pirates,149,622,584,136,21,61,68,5,0.233,650559
Jazz Chisholm Jr.,Yankees,147,621,562,144,24,74,73,40,0.256,665862
Yandy Díaz,Rays,145,621,563,158,14,55,65,0,0.281,650490
Alex Verdugo,Yankees,149,621,559,130,13,74,61,2,0.233,657077
Yainer Diaz,Astros,148,619,585,175,16,70,84,2,0.299,673237
Brice Turang,Brewers,155,619,559,142,7,72,57,50,0.254,668930
Andrew Vaughn,Sox,149,619,570,140,19,55,70,2,0.246,683734
Brent Rooker,Athletics,145,614,546,160,39,82,112,11,0.293,667670
George Springer,Jays,145,614,545,120,19,74,56,16,0.22,543807
Julio Rodríguez,Mariners,143,613,567,155,20,76,68,24,0.273,677594
Christopher Morel,Rays,152,611,535,105,21,56,60,8,0.196,666624
Nolan Schanuel,Angels,147,607,519,130,13,62,54,10,0.25,694384
Alec Bohm,Phillies,143,606,554,155,15,62,97,5,0.28,664761
Josh Bell,Diamondbacks,145,603,538,134,19,62,71,0,0.249,605137
Brenton Doyle,Rockies,149,603,542,141,23,82,72,30,0.26,686668
CJ Abrams,Nationals,138,602,541,133,20,79,65,31,0.246,682928
Orlando Arcia,Braves,157,602,551,120,17,50,46,2,0.218,606115
Zach Neto,Angels,155,602,542,135,23,70,77,30,0.249,687263
Rafael Devers,Sox,138,601,525,143,28,87,83,3,0.272,646240
Oneil Cruz,Pirates,146,599,541,140,21,72,76,22,0.259,665833
Alec Burleson,Cardinals,152,595,547,147,21,71,78,9,0.269,676475
Carlos Santana,Twins,150,594,521,124,23,63,71,4,0.238,467793
Jackson Merrill,Padres,156,593,554,162,24,77,90,16,0.292,701538
Dansby Swanson,Cubs,149,593,534,129,16,82,66,19,0.242,621020
Josh Smith,Rangers,149,592,523,135,13,67,62,11,0.258,669701
Seiya Suzuki,Cubs,132,585,512,145,21,74,73,16,0.283,673548
Riley Greene,Tigers,137,584,512,134,24,82,74,4,0.262,682985
Ketel Marte,Diamondbacks,136,583,504,147,36,93,95,7,0.292,606466
Jake Burger,Marlins,137,579,535,134,29,68,76,1,0.25,669394
Jorge Soler,Braves,142,574,493,119,21,84,64,1,0.241,624585
Jackson Chourio,Brewers,148,573,528,145,21,80,79,22,0.275,694192
Ceddanne Rafaela,Sox,152,571,544,134,15,70,75,19,0.246,678882
Bryson Stott,Phillies,148,571,506,124,11,65,57,32,0.245,681082
Cody Bellinger,Cubs,130,569,516,137,18,72,78,9,0.266,641355
Michael Busch,Cubs,152,567,496,123,21,73,65,2,0.248,683737
Matt Vierling,Tigers,144,567,518,133,16,80,57,6,0.257,663837
Nathaniel Lowe,Rangers,140,565,486,129,16,62,69,2,0.265,663993
Colton Cowser,Orioles,153,561,499,121,24,77,69,9,0.242,681297
Wyatt Langford,Rangers,134,557,499,126,16,74,74,19,0.253,694671
Colt Keith,Tigers,148,556,516,134,13,54,61,7,0.26,690993
Vinnie Pasquantino,Royals,131,554,496,130,19,64,97,1,0.262,686469
Lourdes Gurriel Jr.,Diamondbacks,133,553,513,143,18,72,75,7,0.279,666971
Christian Walker,Diamondbacks,130,552,479,120,26,72,84,2,0.251,572233
Zack Gelof,Athletics,138,547,497,105,17,60,49,25,0.211,680869
Will Smith,Dodgers,128,544,476,118,20,77,75,1,0.248,669257
Steven Kwan,Guardians,122,540,480,140,14,83,44,12,0.292,680757
Brendan Rodgers,Rockies,135,539,501,134,13,67,54,1,0.267,663898
Justin Turner,Mariners,139,539,460,119,11,59,55,0,0.259,457759
Trea Turner,Phillies,121,539,505,149,21,88,62,19,0.295,607208
Jesús Sánchez,Marlins,149,537,489,123,18,60,64,16,0.252,660821
Ty France,Reds,140,535,479,112,13,46,51,1,0.234,664034
Shea Langeliers,Athletics,137,534,482,108,29,58,80,4,0.224,669127
Corey Seager,Rangers,123,533,475,132,30,68,74,1,0.278,608369
Leody Taveras,Rangers,151,529,480,110,12,59,44,23,0.229,665750
Luis García Jr.,Nationals,140,528,500,141,18,58,70,22,0.282,671277
Lane Thomas,Guardians,130,528,472,112,15,65,63,32,0.237,657041
Sal Frelick,Brewers,145,524,475,123,2,66,32,18,0.259,686217
Andrew Benintendi,Sox,135,522,477,109,20,50,64,3,0.229,643217
Logan O'Hoppe,Angels,136,522,479,117,20,64,56,2,0.244,681351
Jacob Young,Nationals,150,521,468,120,3,75,36,33,0.256,696285
Heliot Ramos,Giants,121,518,475,128,22,54,72,6,0.269,671218
Rhys Hoskins,Brewers,131,517,449,96,26,59,82,3,0.214,656555
Mookie Betts,Dodgers,116,516,450,130,19,75,75,16,0.289,605141
Andrew McCutchen,Pirates,120,515,448,104,20,66,50,3,0.232,457705
Tyler Stephenson,Reds,138,515,457,118,19,69,66,1,0.258,663886
Jake Meyers,Astros,148,513,461,101,13,51,61,11,0.219,676694
Daulton Varsho,Jays,136,513,459,98,18,73,58,10,0.214,662139
Joey Ortiz,Brewers,142,511,440,105,11,58,60,11,0.239,687401
Jesse Winker,Mets,145,508,430,109,14,63,58,14,0.253,608385
Ryan Mountcastle,Orioles,124,507,473,128,13,54,63,3,0.271,663624
Gavin Sheets,Sox,139,501,451,105,10,35,45,2,0.233,657757
Charlie Blackmon,Rockies,124,499,449,115,12,59,52,6,0.256,453568
Cedric Mullins,Orioles,147,499,444,104,18,69,54,32,0.234,656775
Isiah Kiner-Falefa,Pirates,133,496,465,125,8,53,43,11,0.269,643396
J.D. Martinez,Mets,120,495,434,102,16,46,69,0,0.235,502110
Jake McCarthy,Diamondbacks,142,495,442,126,8,66,56,25,0.285,664983
Ryan O'Hearn,Orioles,142,494,443,117,15,60,59,3,0.264,656811
Jonah Heim,Rangers,131,491,459,101,13,45,59,1,0.22,641680
Michael Conforto,Giants,130,488,438,104,20,56,66,0,0.237,624424
Gavin Lux,Dodgers,139,487,439,110,10,59,50,5,0.251,666158
Connor Wong,Sox,126,487,447,125,13,54,52,8,0.28,657136
Keibert Ruiz,Nationals,127,485,459,105,13,46,57,3,0.229,660688
José Caballero,Rays,139,483,441,100,9,53,44,44,0.227,676609
Paul DeJong,Royals,139,482,445,101,24,54,56,2,0.227,657557
Tommy Pham,Royals,116,478,440,109,9,49,39,7,0.248,502054
Brandon Marsh,Phillies,135,476,418,104,16,55,60,19,0.249,669016
Josh Rojas,Mariners,143,476,422,95,8,48,31,10,0.225,668942
Mike Yastrzemski,Giants,140,474,428,99,18,60,57,3,0.231,573262
Tyler O'Neill,Sox,113,473,411,99,31,74,61,4,0.241,641933
Jeff McNeil,Mets,129,472,424,101,12,57,44,5,0.238,643446
Michael Harris II,Braves,110,470,440,116,16,58,48,10,0.264,671739
Ha-Seong Kim,Padres,121,470,403,94,11,60,47,22,0.233,673490
Jorge Polanco,Mariners,118,469,417,89,16,43,45,4,0.213,593871
Austin Riley,Braves,110,469,425,109,19,63,56,0,0.256,663586
Ryan Jeffers,Twins,122,465,412,93,21,56,64,3,0.226,680777
Xander Bogaerts,Padres,111,463,428,113,11,50,44,13,0.264,593428
Jeimer Candelario,Reds,112,463,427,96,20,47,56,4,0.225,600869
Mark Canha,Giants,125,462,393,95,7,46,42,7,0.242,592192
Gio Urshela,Braves,128,461,432,108,9,34,52,0,0.25,570482
Max Schuemann,Athletics,133,459,396,87,7,55,34,14,0.22,680474
Giancarlo Stanton,Yankees,114,459,417,97,27,49,72,0,0.233,519317
Michael Toglia,Rockies,116,458,399,87,25,62,55,10,0.218,669911
Luke Raley,Mariners,137,455,404,98,22,58,58,11,0.243,670042
Davis Schneider,Jays,135,454,397,76,13,48,46,6,0.191,676914
Mark Vientos,Mets,111,454,413,110,27,58,71,0,0.266,668901
Ernie Clement,Jays,139,452,434,114,12,48,51,12,0.263,676391
Jo Adell,Angels,130,451,405,84,20,54,62,15,0.207,666176
Lawrence Butler,Athletics,125,451,412,108,22,63,57,18,0.262,671732
J.P. Crawford,Mariners,105,451,392,79,9,55,37,5,0.202,641487
MJ Melendez,Royals,135,451,412,85,17,44,44,4,0.206,669004
Jarred Kelenic,Braves,131,449,412,95,15,49,45,7,0.231,672284
Joc Pederson,Diamondbacks,132,449,367,101,23,62,64,7,0.275,592626
Patrick Bailey,Giants,121,448,401,94,8,46,46,4,0.234,672275
Jose Siri,Rays,130,448,402,75,18,50,47,14,0.187,642350
Wilyer Abreu,Sox,132,447,399,101,15,59,58,8,0.253,677800
Jordan Westburg,Orioles,107,447,416,110,18,57,63,6,0.264,676059
Jared Triolo,Pirates,125,446,394,85,9,41,46,8,0.216,669707
Nicky Lopez,Sox,124,445,398,96,1,40,21,5,0.241,670032
Andy Pages,Dodgers,116,443,403,100,13,65,46,1,0.248,681624
Brayan Rocchio,Guardians,143,442,383,79,8,50,36,10,0.206,677587
Dylan Moore,Mariners,135,441,368,74,10,53,42,32,0.201,664238
Fernando Tatis Jr.,Padres,102,438,398,110,21,64,49,11,0.276,665487
Harrison Bader,Mets,143,437,402,95,12,57,51,17,0.236,664056
Ozzie Albies,Braves,99,435,399,100,10,52,53,8,0.251,645277
Otto Lopez,Marlins,117,434,403,109,6,49,39,20,0.27,672640
Blake Perkins,Brewers,121,434,383,92,6,54,43,23,0.24,663368
Mitch Garver,Mariners,114,430,367,63,15,37,51,0,0.172,641598
Jose Miranda,Twins,121,429,401,114,9,44,49,2,0.284,669304
Mauricio Dubón,Astros,137,428,402,108,4,45,47,3,0.269,643289
Kyle Isbel,Royals,136,426,384,88,8,62,42,11,0.229,664728
Brandon Lowe,Rays,107,425,385,94,21,56,58,5,0.244,664040
Wenceel Pérez,Tigers,112,425,389,94,9,51,37,9,0.242,672761
Luis Robert Jr.,Sox,100,425,393,88,14,47,35,23,0.224,673357
Hunter Renfroe,Royals,120,424,385,88,15,44,52,1,0.229,592669
Mitch Haniger,Mariners,121,423,380,79,12,42,44,0,0.208,571745
Rowdy Tellez,Pirates,132,421,383,93,13,38,56,1,0.243,642133
Masataka Yoshida,Sox,108,421,378,106,10,45,56,2,0.28,807799
Mickey Moniak,Angels,124,418,392,86,14,48,49,8,0.219,666160
Connor Joe,Pirates,123,416,364,83,9,49,36,2,0.228,656582
Austin Wells,Yankees,115,414,354,81,13,42,55,1,0.229,669224
J.T. Realmuto,Phillies,99,413,380,101,14,50,47,2,0.266,592663
Pete Crow-Armstrong,Cubs,123,410,372,88,10,46,47,27,0.237,691718
Lars Nootbaar,Cardinals,109,405,348,85,12,39,45,7,0.244,663457
Jon Singleton,Astros,119,405,355,83,13,46,42,0,0.234,572138
Nolan Gorman,Cardinals,107,402,365,74,19,42,50,6,0.203,669357
LaMonte Wade Jr.,Giants,117,401,331,86,8,45,34,2,0.26,664774
Seth Brown,Athletics,124,400,372,86,14,32,44,4,0.231,664913
Trevor Larnach,Twins,112,400,355,92,15,59,52,4,0.259,663616
Max Kepler,Twins,105,399,368,93,8,43,42,1,0.253,596146
Ke'Bryan Hayes,Pirates,96,396,365,85,4,38,25,11,0.233,663647
Korey Lee,Sox,125,394,377,79,12,36,37,6,0.21,686676
Enrique Hernández,Dodgers,126,393,362,83,12,44,42,0,0.229,571771
David Fry,Guardians,122,392,335,88,14,44,51,4,0.263,681807
Santiago Espinal,Reds,118,391,357,88,9,32,45,11,0.246,669289
Bo Naylor,Guardians,123,389,354,71,13,39,39,6,0.201,666310
Will Benson,Reds,128,388,343,64,14,41,43,16,0.187,666181
Byron Buxton,Twins,102,388,355,99,18,62,56,7,0.279,621439
Geraldo Perdomo,Diamondbacks,98,388,337,92,3,61,37,9,0.273,672695
Nick Gonzales,Pirates,94,387,359,97,7,42,49,5,0.27,693304
Josh Lowe,Rays,106,387,353,85,10,37,34,25,0.241,666139
Alejandro Kirk,Jays,103,386,340,86,5,23,54,0,0.253,672386
Tyler Freeman,Guardians,118,383,330,69,7,48,32,11,0.209,671289
Jake Fraley,Reds,116,382,350,97,5,44,26,20,0.277,641584
Thairo Estrada,Giants,96,381,364,79,9,43,47,2,0.217,642731
Spencer Horwitz,Jays,97,381,328,87,12,46,40,0,0.265,687462
Spencer Torkelson,Tigers,92,381,342,75,10,45,37,0,0.219,679529
Anthony Rizzo,Yankees,92,375,337,77,8,38,35,0,0.228,519203
Starling Marte,Mets,94,370,335,90,7,46,40,16,0.269,516782
Lenyn Sosa,Sox,100,369,351,89,8,28,35,3,0.254,672820
Freddy Fermin,Royals,111,368,339,92,6,40,36,2,0.271,666023
Carlos Correa,Twins,86,367,319,99,14,55,54,0,0.31,621043
Abraham Toro,Athletics,94,364,337,81,6,34,26,4,0.24,647351
Miguel Amaya,Cubs,117,363,328,76,8,32,47,0,0.232,665804
Johan Rojas,Phillies,120,363,338,82,3,47,32,25,0.243,679032
Jonny DeLuca,Rays,107,362,332,72,6,29,31,16,0.217,676356
Brandon Drury,Angels,97,360,325,55,4,28,15,1,0.169,592273
Willson Contreras,Cardinals,84,358,301,79,15,48,36,4,0.262,575929
Michael Massey,Royals,100,356,332,86,14,45,45,1,0.259,686681
Will Brennan,Guardians,114,353,330,87,8,37,30,4,0.264,686823
Elias Díaz,Padres,96,351,325,86,6,27,39,0,0.265,553869
Gabriel Moreno,Diamondbacks,97,351,305,81,5,39,45,3,0.266,672515
Mike Tauchman,Cubs,109,350,298,74,7,50,29,6,0.248,643565
Eloy Jiménez,Orioles,98,349,324,77,6,25,23,3,0.238,650391
Jake Bauers,Brewers,117,346,302,60,12,45,43,13,0.199,641343
Jake Cave,Rockies,123,346,323,81,7,42,37,5,0.251,595909
Amed Rosario,Reds,103,346,332,93,3,29,32,13,0.28,642708
Tyrone Taylor,Mets,130,345,319,79,7,47,35,11,0.248,621438
Manuel Margot,Twins,129,343,315,75,4,37,31,5,0.238,622534
Francisco Alvarez,Mets,100,342,308,73,11,39,47,1,0.237,682626
Tyler Fitzgerald,Giants,96,341,314,88,15,53,34,17,0.28,666149
TJ Friedl,Reds,85,341,297,67,13,35,55,9,0.226,670770
Travis d'Arnaud,Braves,99,341,307,73,15,40,48,1,0.238,518595
Kyle Tucker,Astros,78,339,277,80,23,56,49,11,0.289,663656
Jake Rogers,Tigers,102,337,310,61,10,43,36,1,0.197,668670
Miguel Rojas,Dodgers,103,337,307,87,6,41,36,8,0.283,500743
Bo Bichette,Jays,81,336,311,70,4,29,31,5,0.225,666182
James Wood,Nationals,79,336,295,78,9,43,41,14,0.264,695578
Nick Fortes,Marlins,110,335,308,70,4,28,29,0,0.227,663743
Whit Merrifield,Braves,95,335,293,65,4,44,15,17,0.222,593160
Michael Siani,Cardinals,124,334,298,68,2,42,20,20,0.228,672279
Adam Duvall,Braves,104,330,303,55,11,29,30,0,0.182,594807
Ben Rortvedt,Rays,112,328,290,66,3,27,31,1,0.228,666163
Oswaldo Cabrera,Yankees,109,326,299,74,8,47,36,4,0.247,665828
Royce Lewis,Twins,82,325,292,68,16,40,47,0,0.233,668904
Zach McKinstry,Tigers,118,325,297,64,4,32,23,16,0.215,656716
Danny Jansen,Sox,91,324,278,57,9,35,24,0,0.205,643376
Miguel Andujar,Athletics,75,319,302,86,4,31,30,3,0.285,609280
Eddie Rosario,Braves,91,319,297,52,10,33,35,9,0.175,592696
David Hamilton,Sox,98,317,294,73,8,47,28,33,0.248,666152
Richie Palacios,Rays,92,316,264,59,5,46,21,19,0.223,680700
Christian Vázquez,Twins,93,315,294,65,7,29,27,3,0.221,543877
Christian Yelich,Brewers,73,315,270,85,11,44,42,21,0.315,592885
Kevin Pillar,Angels,100,314,284,65,8,38,45,12,0.229,607680
Carson Kelly,Rangers,91,313,281,67,9,32,37,0,0.238,608348
Joey Meneses,Nationals,76,313,281,65,3,19,42,2,0.231,608841
Kevin Newman,Diamondbacks,111,311,288,80,3,41,28,8,0.278,621028
Ramón Laureano,Braves,98,309,286,74,11,35,33,8,0.259,657656
Donovan Solano,Padres,96,309,283,81,8,31,35,2,0.286,456781
Rob Refsnyder,Sox,93,307,272,77,11,32,40,2,0.283,608701
Dominic Smith,Reds,93,307,275,64,6,33,34,1,0.233,642086
Luis Rengifo,Angels,78,304,283,85,6,41,30,24,0.3,650859
Xavier Edwards,Marlins,70,303,265,87,1,39,26,31,0.328,669364
Ildemaro Vargas,Nationals,97,303,272,67,1,21,30,9,0.246,545121
Emmanuel Rivera,Orioles,124,302,265,63,5,24,29,2,0.238,656896
Edouard Julien,Twins,94,301,266,53,8,36,21,6,0.199,666397
Ramón Urías,Orioles,100,301,272,69,11,39,37,1,0.254,602104
Michael A. Taylor,Pirates,113,300,269,52,5,35,21,12,0.193,572191
Luis Campusano,Padres,91,299,277,63,8,37,40,0,0.227,669134
Parker Meadows,Tigers,82,298,270,66,9,39,28,9,0.244,678009
Nolan Jones,Rockies,79,297,256,58,3,28,28,5,0.227,666134
Kerry Carpenter,Tigers,87,296,264,75,18,37,57,0,0.284,681481
Victor Robles,Mariners,91,295,254,78,4,44,28,34,0.307,645302
Adam Frazier,Royals,104,294,262,53,4,35,22,3,0.202,624428
Max Muncy,Dodgers,73,293,237,55,15,47,48,1,0.232,571970
Jose Iglesias,Mets,85,291,270,91,4,39,26,6,0.337,578428
Javier Báez,Tigers,80,289,272,50,6,25,37,8,0.184,595879
Ezequiel Duran,Rangers,92,285,268,66,3,26,20,1,0.246,677649
Joey Bart,Pirates,80,282,253,67,13,38,45,0,0.265,663698
Kevin Kiermaier,Dodgers,116,281,259,51,5,31,26,6,0.197,595281
Jacob Stallings,Rockies,82,281,243,64,9,31,36,0,0.263,607732
Gary Sánchez,Brewers,89,280,245,54,11,30,37,0,0.22,596142
Randal Grichuk,Diamondbacks,106,279,254,74,12,40,46,0,0.291,545341
Vidal Bruján,Marlins,102,278,248,55,2,32,16,5,0.222,660644
Tyler Nevin,Athletics,87,278,245,50,7,22,20,1,0.204,663527
Jack Suwinski,Pirates,88,277,247,45,9,29,26,9,0.182,669261
Nick Gordon,Marlins,95,275,260,59,8,29,32,5,0.227,624503
Victor Caratini,Astros,87,274,245,66,8,30,30,0,0.269,605170
Edmundo Sosa,Phillies,90,274,249,64,7,39,31,7,0.257,624641
Jonah Bride,Marlins,71,272,232,64,11,30,39,0,0.276,681146
Brett Wisely,Giants,91,272,252,60,4,25,31,2,0.238,689172
Chas McCormick,Astros,94,267,242,51,5,32,27,8,0.211,676801
Nick Senzel,Sox,74,267,236,46,7,25,18,1,0.195,669222
Dylan Carlson,Rays,96,265,235,49,3,19,25,2,0.209,666185
Sean Murphy,Braves,72,264,233,45,10,19,25,0,0.193,669221
Kyle Higashioka,Padres,84,263,246,54,17,29,45,2,0.22,543309
Joey Loperfido,Jays,81,262,243,52,4,24,25,4,0.214,694388
Matt Wallner,Twins,75,261,220,57,13,26,37,3,0.259,670242
Joey Gallo,Nationals,76,260,223,36,10,24,27,3,0.161,608336
David Peralta,Padres,91,260,236,63,8,35,28,2,0.267,444482
Iván Herrera,Cardinals,72,259,229,69,5,37,27,5,0.301,671056
Jason Heyward,Astros,87,258,228,48,10,33,37,5,0.211,518792
Austin Martin,Twins,93,257,233,59,1,41,16,7,0.253,668885
Austin Hays,Phillies,85,255,235,60,5,26,20,2,0.255,669720
Willie Calhoun,Angels,68,254,229,56,5,26,20,0,0.245,641432
Taylor Walls,Rays,84,252,218,40,1,27,14,16,0.183,670764
Juan Yepez,Nationals,62,249,226,64,6,32,26,2,0.283,660766
Elehuris Montero,Rockies,67,247,224,46,4,23,28,0,0.205,660707
Harold Ramírez,Nationals,73,246,238,62,2,28,29,6,0.261,623912
Chris Taylor,Dodgers,87,246,213,43,4,28,23,5,0.202,621035
Robbie Grossman,Royals,86,245,208,44,3,21,16,3,0.212,543257
Andy Ibáñez,Tigers,99,244,224,54,5,30,32,2,0.241,628451
Triston Casas,Sox,63,243,212,51,13,28,32,0,0.241,671213
Yasmani Grandal,Pirates,72,243,215,49,9,26,27,1,0.228,518735
Kyle Farmer,Twins,107,242,215,46,5,26,25,3,0.214,571657
Wilmer Flores,Giants,71,242,214,44,4,19,26,0,0.206,527038
Noelvi Marte,Reds,66,242,229,48,4,24,18,9,0.21,682622
Tim Anderson,Marlins,65,241,234,50,0,16,9,4,0.214,641313
Dominic Fletcher,Sox,72,241,223,46,1,14,17,0,0.206,666150
Anthony Rendon,Angels,57,238,206,45,0,21,14,6,0.218,543685
Miguel Vargas,Sox,72,237,206,31,5,22,16,3,0.15,678246
Jose Trevino,Yankees,74,234,209,45,8,26,28,1,0.215,624431
Stuart Fairchild,Reds,94,233,209,45,8,33,30,13,0.215,656413
James McCann,Orioles,66,233,214,50,8,27,31,1,0.234,543510
Garrett Hampson,Royals,113,231,213,49,0,16,16,7,0.23,641658
Justyn-Henry Malloy,Tigers,71,230,202,41,8,18,21,1,0.203,669234
Nelson Velázquez,Royals,64,230,205,41,8,31,27,2,0.2,676369
Nick Ahmed,Padres,71,228,210,48,2,20,17,2,0.229,605113
DJ LeMahieu,Yankees,67,228,201,41,2,19,26,0,0.204,518934
Addison Barger,Jays,69,225,208,41,7,20,28,2,0.197,680718
Cavan Biggio,Braves,78,224,188,37,5,27,19,2,0.197,624415
Hunter Goodman,Rockies,70,224,211,40,13,24,36,1,0.19,696100
Garrett Mitchell,Brewers,69,224,196,50,8,33,21,11,0.255,669003
Enmanuel Valdez,Sox,76,223,201,43,6,23,28,1,0.214,665839
Ronald Acuña Jr.,Braves,49,222,192,48,4,38,15,16,0.25,660670
Daniel Schneemann,Guardians,73,221,193,42,5,17,22,3,0.218,682177
Pedro Pagés,Cardinals,68,218,202,48,7,19,27,2,0.238,686780
Romy Gonzalez,Sox,89,216,199,53,6,25,29,11,0.266,663853
Tyler Soderstrom,Athletics,61,213,189,44,9,18,26,0,0.233,691016
Austin Slater,Orioles,84,212,177,37,2,24,18,3,0.209,596103
Trey Lipscomb,Nationals,61,211,190,38,1,20,10,11,0.2,702358
Leo Jiménez,Jays,63,210,179,41,4,18,19,0,0.229,677870
Trent Grisham,Yankees,76,209,179,34,9,21,31,1,0.19,663757
Kyle Stowers,Marlins,69,209,192,40,3,15,24,0,0.208,669065
Jackson Holliday,Orioles,60,208,190,36,5,28,23,4,0.189,702616
Jorge Mateo,Orioles,68,208,192,44,5,30,18,13,0.229,622761
Travis Jankowski,Rangers,104,207,190,38,1,19,12,11,0.2,608671
Jhonkensy Noel,Guardians,67,198,179,39,13,25,28,0,0.218,678877
Edward Olivares,Pirates,55,196,174,39,5,22,23,1,0.224,658668
Connor Norby,Marlins,45,194,178,42,9,32,20,3,0.236,681393
DJ Stewart,Mets,74,194,158,28,5,16,19,1,0.177,621466
Corey Julks,Sox,66,189,173,37,3,17,14,5,0.214,667452
Dominic Canzone,Mariners,67,188,168,33,8,20,17,1,0.196,686527
Josh Jung,Rangers,46,188,178,47,7,19,16,4,0.264,673962
Luis Guillorme,Diamondbacks,79,187,161,33,0,14,10,4,0.205,641645
Garrett Stubbs,Phillies,56,187,164,34,1,18,11,5,0.207,596117
Daz Cameron,Athletics,66,186,170,34,5,22,15,5,0.2,663662
Matt Thaiss,Angels,57,186,157,32,2,14,16,3,0.204,642136
Blaze Alexander,Diamondbacks,61,185,166,41,3,19,21,3,0.247,677942
Brooks Lee,Twins,50,185,172,38,3,9,27,3,0.221,686797
Jordan Beck,Rockies,55,184,170,32,3,14,13,7,0.188,687597
Cristian Pache,Marlins,88,183,165,33,1,13,16,1,0.2,665506
Alex Kirilloff,Twins,57,178,159,32,5,20,20,0,0.201,666135
