Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Hunter Bigge","TBR",0,0,0,13,0,15,7.2,3,2.4,0.18421052631578946,1,0.38095238,0.222222222,97.52581727851941,2.4,5.968775743084232,6.201802984873455,4.585223495960236,-0.2179257720708847,"Hunter Bigge",26259,685801
"Cionel Pérez","BAL",0,0,0,19,0,21.2,8.723078714856397,7.476924612734055,1.2461541021223426,0.3787878787878788,0.59360731,0.582089552,0.176470588,95.69408203125,8.30769401414895,3.926953423031132,5.765906089353955,5.175578353550815,-0.2194371223449707,"Cionel Perez",19614,672335
"Gregory Santos","SEA",1,1,0,8,0,7,0,10.28571568703184,0,0.2857142857142857,0.625,0.629629629,0,,5.14285784351592,6.775382730887846,6.563708213884068,7.885199235175394,-0.2317146211862564,"Gregory Santos",21894,666619
"Jesse Hahn","SEA",0,1,0,3,0,5,5.4,9,1.8,0.3333333333333333,0.75471698,0.733333333,1,95.42062377929688,5.4,6.3201580504988994,8.135136318206786,5.843484181165696,-0.23180732131004333,"Jesse Hahn",13287,534910
"Connor Thomas","MIL",0,0,0,2,0,5.1,8.43750050291422,3.375000201165688,5.062500301748532,0.45,0.27777778,0.318181818,0.428571428,90.09473876953125,20.250001206994128,11.896016485453142,10.260136742889907,4.971169278310714,-0.2341744303703308,"Connor Thomas",25873,671162
"Kendall Graveman","ARI",1,0,0,19,0,17.2,4.58490582537762,6.11320776717016,1.0188679611950267,0.3620689655172414,0.6626506,0.423728813,0.095238095,94.11212277879902,7.132075728365186,6.969545037980232,5.795513772438246,6.156449197353071,-0.2351895570755005,"Kendall Graveman",15514,608665
"Ethan Roberts","CHC",1,0,0,10,0,9,6.000001271566025,2.0000004238553415,3.0000006357830125,0.25925925925925924,0.79545455,0.3,0.214285714,,6.000001271566025,6.345912911415243,7.13513716591747,5.20006457883586,-0.2361467182636261,"Ethan Roberts",24930,681799
"Jackson Kowar","SEA",2,0,0,15,0,17,7.94117736156434,3.7058827687300253,2.1176472964171573,0.22727272727272727,0.85365854,0.3125,0.148148148,97.33852597891567,4.235294592834315,5.153016302587052,5.841018974739821,5.230840170953286,-0.2408677190542221,"Jackson Kowar",21549,663804
"Erik Swanson","TOR",1,0,0,6,0,5.1,5.0625012069943445,8.43750201165724,3.3750008046628963,0.3157894736842105,0.44642857,0.238095238,0.153846153,92.78456038135593,15.187503620983033,6.435828421157806,10.260138016939568,9.14312733043516,-0.24168382585048676,"Erik Swanson",16587,657024
"John Brebbia","- - -",1,1,0,22,0,23.1,10.028572794856043,4.628572059164328,1.9285716913184698,0.3382352941176471,0.56756757,0.319444444,0.138888888,92.80091579861111,7.714286765273879,4.478761041303168,5.749422388660713,5.342391561747312,-0.24184251576662064,"John Brebbia",12777,605154
"Andrew Hoffmann","- - -",1,1,0,11,0,12,9.000002145767724,7.50000178813977,1.500000357627954,0.32432432432432434,0.56603774,0.333333333,0.1,94.6039488549326,6.000001430511816,6.105888808673571,5.801803620656482,6.20470257470598,-0.24379625171422958,"Andrew Hoffmann",29633,694851
"Tommy Kahnle","DET",1,5,9,66,0,63,7.142858440373455,4.4285722330315425,1.1428573504597528,0.24293785310734464,0.71030641,0.475675675,0.123076923,93.68476019965277,4.4285722330315425,4.518497981926995,4.722438193845333,4.662327952158634,-0.2465735375881195,"Tommy Kahnle",11384,592454
