Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Santiago Espinal,Jays,135,491,449,120,7,51,51,6,0.267,669289
David Peralta,Rays,134,490,439,110,12,39,59,1,0.251,444482
Dylan Carlson,Cardinals,128,488,432,102,8,56,42,5,0.236,666185
Willson Contreras,Cubs,113,487,416,101,22,65,55,4,0.243,575929
Jose Miranda,Twins,125,483,444,119,15,45,66,1,0.268,669304
Nicky Lopez,Royals,142,480,436,99,0,51,20,13,0.227,670032
Robbie Grossman,Braves,129,477,411,86,7,40,45,6,0.209,543257
Salvador Perez,Royals,114,473,445,113,23,48,76,0,0.254,521692
Franmil Reyes,Cubs,118,473,438,97,14,43,47,2,0.221,614177
Owen Miller,Guardians,130,472,424,103,6,53,51,2,0.243,680911
Rougned Odor,Orioles,135,472,426,88,13,49,53,6,0.207,596059
Luis Urías,Brewers,119,472,406,97,16,54,47,1,0.239,649966
Gavin Lux,Dodgers,129,471,421,116,6,66,42,7,0.276,666158
Gary Sánchez,Twins,128,471,419,86,16,42,61,2,0.205,596142
Adley Rutschman,Orioles,113,470,398,101,13,70,42,4,0.254,668939
Garrett Cooper,Marlins,119,469,414,108,9,37,50,0,0.261,643265
Brendan Donovan,Cardinals,126,468,391,110,5,64,45,2,0.281,680977
Jeimer Candelario,Tigers,124,467,429,93,13,49,50,0,0.217,600869
Jose Iglesias,Rockies,118,467,439,128,3,48,47,2,0.292,578428
Connor Joe,Rockies,111,467,404,96,7,56,28,6,0.238,656582
Bryson Stott,Phillies,127,466,427,100,10,58,49,12,0.234,681082
Taylor Walls,Rays,142,466,407,70,8,53,33,10,0.172,670764
Brandon Marsh,Phillies,134,461,424,104,11,49,52,10,0.245,669016
Daniel Vogelbach,Mets,130,461,386,92,18,47,59,0,0.238,596129
Brandon Crawford,Giants,118,458,407,94,9,50,52,1,0.231,543063
Michael A. Taylor,Royals,124,456,414,105,9,49,43,4,0.254,572191
Chris Taylor,Dodgers,118,454,402,89,10,45,43,10,0.221,621035
Jared Walsh,Angels,118,454,423,91,15,41,44,2,0.215,665120
Aaron Hicks,Yankees,130,453,384,83,8,54,40,10,0.216,543305
Giancarlo Stanton,Yankees,110,452,398,84,31,53,78,0,0.211,519317
Jonah Heim,Rangers,127,450,406,92,16,51,48,2,0.227,641680
Max Kepler,Twins,115,446,388,88,9,54,43,3,0.227,596146
Seiya Suzuki,Cubs,111,446,397,104,14,54,46,9,0.262,673548
Jorge Polanco,Twins,104,445,375,88,16,54,56,3,0.235,593871
Ramón Urías,Orioles,118,445,403,100,16,50,51,1,0.248,602104
Harold Castro,Tigers,120,443,420,114,7,37,47,0,0.271,605612
Nick Gordon,Twins,138,443,405,110,9,45,50,6,0.272,624503
Michael Harris II,Braves,114,441,414,123,19,75,64,20,0.297,671739
Harold Ramírez,Rays,120,435,403,121,6,46,58,3,0.3,623912
Miguel Cabrera,Tigers,112,433,397,101,5,25,43,1,0.254,408234
Yoán Moncada,Sox,104,433,397,84,12,41,51,2,0.212,660162
Joc Pederson,Giants,134,433,380,104,23,57,70,3,0.274,592626
Keibert Ruiz,Nationals,112,433,394,99,7,33,36,6,0.251,660688
Raimel Tapia,Jays,128,433,411,109,7,47,52,8,0.265,606132
Jonathan India,Reds,103,431,386,96,10,48,41,3,0.249,663697
Michael Chavis,Pirates,129,426,401,92,14,39,49,1,0.229,656308
Bryce Harper,Phillies,99,426,370,106,18,63,65,11,0.286,547180
Christian Vázquez,Astros,119,426,398,109,9,41,52,1,0.274,543877
Travis d'Arnaud,Braves,107,426,396,106,18,61,60,0,0.268,518595
Josh Harrison,Sox,119,425,386,99,7,50,27,2,0.256,543281
Christopher Morel,Cubs,113,425,379,89,16,55,47,10,0.235,666624
Kole Calhoun,Rangers,125,424,388,76,12,36,49,3,0.196,594777
Ben Gamel,Pirates,115,423,371,86,9,42,46,5,0.232,592325
Nick Senzel,Reds,110,420,373,86,5,45,25,8,0.231,669222
Ji Man Choi,Rays,113,419,356,83,11,36,52,0,0.233,596847
Eric Hosmer,Sox,104,419,380,102,8,38,44,0,0.268,543333
Riley Greene,Tigers,93,418,376,95,5,46,42,1,0.253,682985
Cal Raleigh,Mariners,119,415,370,78,27,46,63,1,0.211,663728
Alek Thomas,Diamondbacks,113,411,381,88,8,45,39,4,0.231,677950
Joey Gallo,Dodgers,126,410,350,56,19,48,47,3,0.16,608336
Gavin Sheets,Sox,124,410,377,91,15,34,53,0,0.241,657757
Yonathan Daza,Rockies,113,408,372,112,2,56,34,0,0.301,602074
Chas McCormick,Astros,119,407,359,88,14,47,44,4,0.245,676801
Victor Robles,Nationals,132,407,366,82,6,42,33,15,0.224,645302
Tyrone Taylor,Brewers,120,405,373,87,17,49,51,3,0.233,621438
Jon Berti,Marlins,102,404,358,86,4,47,28,41,0.24,542932
Spencer Torkelson,Tigers,110,404,360,73,8,38,28,0,0.203,679529
Enrique Hernández,Sox,93,402,361,80,6,48,45,0,0.222,571771
Luis Robert Jr.,Sox,98,401,380,108,12,54,56,11,0.284,673357
Austin Nola,Padres,110,397,347,87,4,40,40,2,0.251,543592
Trevor Story,Sox,94,396,357,85,16,53,66,13,0.238,596115
Willi Castro,Tigers,112,392,365,88,8,47,31,9,0.241,650489
Maikel Franco,Nationals,103,388,371,85,9,31,39,1,0.229,596748
Darin Ruf,Mets,119,388,334,68,11,52,45,2,0.204,573131
Jean Segura,Phillies,98,387,354,98,10,45,33,13,0.277,516416
Jacob Stallings,Marlins,114,384,346,77,4,25,34,0,0.223,607732
Brian Anderson,Marlins,98,383,338,75,8,43,28,1,0.222,605119
Ramón Laureano,Athletics,94,383,346,73,13,49,34,11,0.211,657656
Tyler O'Neill,Cardinals,96,383,334,76,14,56,58,14,0.228,641933
Byron Buxton,Twins,92,382,340,76,28,61,51,6,0.224,621439
Oscar Gonzalez,Guardians,91,382,362,107,11,39,43,1,0.296,660757
Elias Díaz,Rockies,105,381,351,80,9,29,51,0,0.228,553869
Isaac Paredes,Rays,111,381,331,68,20,48,45,0,0.205,670623
Avisaíl García,Marlins,98,380,357,80,8,31,35,4,0.224,541645
Martín Maldonado,Astros,113,379,344,64,15,40,45,0,0.186,455117
Chad Pinder,Athletics,111,379,361,85,12,38,42,2,0.235,640461
Luis García Jr.,Nationals,93,377,360,99,7,29,45,3,0.275,671277
William Contreras,Braves,97,376,334,93,20,51,45,2,0.278,661388
Yasmani Grandal,Sox,99,376,327,66,5,15,27,1,0.202,518735
Joey Votto,Reds,91,376,322,66,11,31,41,0,0.205,458015
Max Stassi,Angels,102,375,333,60,9,32,30,0,0.18,545358
Jack Suwinski,Pirates,106,372,326,66,19,45,38,4,0.202,669261
Rafael Ortega,Cubs,118,371,316,76,7,35,35,12,0.241,542364
Joey Wendle,Marlins,101,371,347,90,3,27,32,12,0.259,621563
Jackie Bradley Jr.,Jays,132,370,344,70,4,30,38,2,0.203,598265
J.D. Davis,Giants,115,365,318,79,12,46,35,1,0.248,605204
Manuel Margot,Rays,89,363,336,92,4,36,47,7,0.274,622534
Oneil Cruz,Pirates,87,361,331,77,17,45,54,10,0.233,665833
Emmanuel Rivera,Diamondbacks,102,359,330,77,12,46,40,1,0.233,656896
Matt Vierling,Phillies,117,357,325,80,6,41,32,7,0.246,663837
Bryan De La Cruz,Marlins,115,355,329,83,13,38,43,4,0.252,650559
Carson Kelly,Diamondbacks,104,354,317,67,7,40,35,2,0.211,608348
Jake McCarthy,Diamondbacks,99,354,321,91,8,53,43,23,0.283,664983
Bobby Dalbec,Sox,117,353,317,68,12,40,39,3,0.215,666915
Jose Trevino,Yankees,115,353,335,83,11,39,43,2,0.248,624431
Abraham Toro,Mariners,109,352,324,60,10,36,35,2,0.185,647351
Tim Anderson,Sox,79,351,332,100,6,50,25,13,0.301,641313
Eric Haase,Tigers,110,351,323,82,14,41,44,0,0.254,606992
Albert Pujols,Cardinals,109,351,307,83,24,42,68,1,0.27,405395
Luis González,Giants,98,350,311,78,4,31,36,10,0.251,670768
Andrew Velazquez,Angels,125,349,322,63,9,37,28,17,0.196,623205
Gilberto Celestino,Twins,122,347,311,74,2,30,24,4,0.238,665482
Lars Nootbaar,Cardinals,108,347,290,66,14,53,40,4,0.228,663457
Wander Franco,Rays,83,344,314,87,6,46,33,8,0.277,677551
Jesús Sánchez,Marlins,98,343,313,67,13,38,36,1,0.214,660821
Leody Taveras,Rangers,99,341,314,82,5,39,34,11,0.261,665750
Austin Hedges,Guardians,105,338,294,48,7,26,30,2,0.163,595978
Victor Reyes,Tigers,92,336,315,80,3,27,34,2,0.254,622682
Luis Guillorme,Mets,102,335,297,81,2,33,17,1,0.273,641645
Tyler Naquin,Mets,105,334,310,71,11,47,46,4,0.229,571980
Christian Bethancourt,Rays,101,333,318,80,11,39,34,5,0.252,542194
Jace Peterson,Brewers,113,328,288,68,8,44,34,12,0.236,607054
Aledmys Díaz,Astros,92,327,305,74,12,35,38,1,0.243,649557
Yadiel Hernandez,Nationals,94,327,305,82,9,30,41,2,0.269,628450
Eloy Jiménez,Sox,84,327,292,86,16,40,54,0,0.295,650391
Nick Allen,Athletics,100,326,299,62,4,31,19,3,0.207,669397
Jose Siri,Rays,104,325,301,64,7,53,24,14,0.213,642350
Austin Slater,Giants,125,325,277,73,7,49,34,12,0.264,596103
Adam Duvall,Braves,86,315,287,61,12,39,36,0,0.213,594807
Leury García,Sox,97,315,300,63,3,38,20,2,0.21,544725
Victor Caratini,Brewers,96,314,272,54,9,26,34,0,0.199,605170
Harrison Bader,Yankees,86,313,292,73,5,38,30,17,0.25,664056
Nolan Gorman,Cardinals,89,313,283,64,14,44,35,1,0.226,669357
Tomás Nido,Mets,98,313,284,68,3,31,28,0,0.239,621512
Kevin Newman,Pirates,78,309,288,79,2,31,24,8,0.274,621028
Tucker Barnhart,Tigers,94,308,281,62,1,16,16,0,0.221,571466
Jorge Soler,Marlins,72,306,270,56,13,32,34,0,0.207,624585
Donovan Solano,Reds,80,304,278,79,4,22,24,0,0.284,456781
Cavan Biggio,Jays,97,303,257,52,6,43,24,2,0.202,624415
CJ Abrams,Nationals,90,302,284,70,2,33,21,7,0.246,682928
Christian Arroyo,Sox,87,300,280,80,6,32,36,5,0.286,624414
Francisco Mejía,Rays,93,299,289,70,6,32,31,0,0.242,642336
Brandon Belt,Giants,78,298,254,54,8,25,23,1,0.213,474832
Evan Longoria,Giants,89,298,266,65,14,31,42,0,0.244,446334
Vinnie Pasquantino,Royals,72,298,258,76,10,25,26,1,0.295,686469
Corey Dickerson,Cardinals,97,297,281,75,6,28,36,0,0.267,572816
Omar Narváez,Brewers,84,296,262,54,4,21,23,0,0.206,553882
Yan Gomes,Cubs,86,293,277,65,8,23,31,2,0.235,543228
Andrew Knizner,Cardinals,97,293,260,56,4,28,25,0,0.215,668800
Sheldon Neuse,Athletics,89,293,271,58,4,25,26,6,0.214,641914
Frank Schwindel,Cubs,75,292,271,62,8,23,36,0,0.229,643524
Joey Bart,Giants,97,291,261,56,11,34,25,2,0.215,663698
Alfonso Rivas III,Cubs,101,287,251,59,3,27,25,6,0.235,663845
Wil Myers,Padres,77,286,261,68,7,29,41,2,0.261,571976
Jo Adell,Angels,88,285,268,60,8,22,27,4,0.224,666176
Mike Moustakas,Reds,78,285,252,54,7,30,25,2,0.214,519058
Diego Castillo,Pirates,96,283,262,54,11,28,29,1,0.206,660636
Rodolfo Castro,Pirates,71,278,253,59,11,25,27,5,0.233,666801
Kyle Isbel,Royals,106,278,256,54,5,32,28,9,0.211,664728
Michael Brantley,Astros,64,277,243,70,5,28,26,1,0.288,488726
Pavin Smith,Diamondbacks,75,277,245,54,9,24,33,1,0.22,656976
Aristides Aquino,Reds,80,276,259,51,10,24,30,2,0.197,606157
Franchy Cordero,Sox,84,275,242,53,8,36,29,4,0.219,614173
Jorge Alfaro,Padres,82,274,256,63,7,25,40,1,0.246,595751
Reese McGuire,Sox,89,274,249,67,3,25,22,1,0.269,624512
Juan Yepez,Cardinals,76,274,253,64,12,27,30,0,0.253,660766
Matt Reynolds,Reds,93,272,244,60,3,31,23,5,0.246,608703
Yadier Molina,Cardinals,80,270,262,56,5,19,24,2,0.214,425877
Eddie Rosario,Braves,80,270,250,53,5,27,24,3,0.212,592696
Ozzie Albies,Braves,64,269,247,61,8,36,35,3,0.247,645277
Keston Hiura,Brewers,80,266,234,53,14,34,32,5,0.226,669374
Brandon Lowe,Rays,65,266,235,52,8,31,25,1,0.221,664040
Mauricio Dubón,Astros,104,265,243,52,5,31,24,2,0.214,643289
Adam Engel,Sox,119,260,245,55,2,32,17,12,0.224,641553
Cristian Pache,Athletics,91,260,241,40,3,18,18,2,0.166,665506
TJ Friedl,Reds,72,258,225,54,8,33,25,7,0.24,670770
Dylan Moore,Mariners,104,255,205,46,6,41,24,21,0.224,664238
Trayce Thompson,Dodgers,80,255,219,56,13,36,41,4,0.256,572204
Vimael Machín,Athletics,73,253,223,49,1,26,13,1,0.22,605353
Josh Smith,Rangers,73,253,213,42,2,23,16,4,0.197,669701
LaMonte Wade Jr.,Giants,77,251,217,45,8,29,26,1,0.207,664774
Kyle Higashioka,Yankees,83,248,229,52,10,27,31,0,0.227,543309
Danny Jansen,Jays,72,248,215,56,15,34,44,1,0.26,643376
Matt Duffy,Angels,77,247,228,57,2,14,16,0,0.25,622110
Jake Fraley,Reds,68,247,216,56,12,33,28,4,0.259,641584
Mitch Haniger,Mariners,57,247,224,55,11,31,34,0,0.246,571745
Jazz Chisholm Jr.,Marlins,60,241,213,54,14,39,45,12,0.254,665862
Brad Miller,Rangers,81,241,222,47,7,20,32,4,0.212,543543
Nick Fortes,Marlins,72,240,217,50,9,41,24,5,0.23,663743
Joey Meneses,Nationals,56,240,222,72,13,33,34,1,0.324,608841
JJ Bleday,Marlins,65,238,204,34,5,21,16,4,0.167,668709
Paul DeJong,Cardinals,77,237,210,33,6,19,25,3,0.157,657557
Ryan Jeffers,Twins,67,236,212,44,7,25,27,0,0.208,680777
Albert Almora Jr.,Reds,64,235,215,48,5,26,29,3,0.223,546991
Orlando Arcia,Braves,68,234,209,51,9,25,30,0,0.244,606115
Jordan Luplow,Diamondbacks,83,234,205,36,11,26,28,5,0.176,656669
Didi Gregorius,Phillies,63,232,214,45,1,17,19,1,0.21,544369
Cal Mitchell,Pirates,69,232,212,48,5,21,17,3,0.226,668751
P.J. Higgins,Cubs,74,229,201,46,6,23,30,0,0.229,664731
David Fletcher,Angels,61,228,216,55,2,20,17,1,0.255,664058
Nick Madrigal,Cubs,59,228,209,52,0,19,7,3,0.249,663611
Garrett Hampson,Rockies,90,226,199,42,2,29,15,12,0.211,641658
Akil Baddoo,Tigers,73,225,201,41,2,30,9,9,0.204,668731
Brett Phillips,Orioles,83,225,201,29,5,22,15,7,0.144,621433
Sergio Alcántara,Diamondbacks,93,224,205,45,6,26,29,1,0.22,642727
Jarren Duran,Sox,58,223,204,45,3,23,17,7,0.221,680776
Ildemaro Vargas,Nationals,63,222,209,55,4,19,23,3,0.263,545121
Kevin Kiermaier,Rays,63,221,206,47,7,28,22,6,0.228,595281
Robinson Chirinos,Orioles,67,220,195,35,4,10,22,1,0.179,455139
Ezequiel Duran,Rangers,58,220,208,49,5,25,25,4,0.236,677649
Jonathan Villar,Angels,59,220,202,42,3,25,18,7,0.208,542340
José Azocar,Padres,98,216,202,52,0,24,10,5,0.257,640492
Mitch Garver,Rangers,54,215,188,39,10,23,24,1,0.207,641598
Austin Barnes,Dodgers,62,212,179,38,8,31,26,2,0.212,605131
Marwin Gonzalez,Yankees,86,207,184,34,6,20,18,3,0.185,503556
Luke Maile,Guardians,76,206,181,40,3,19,17,0,0.221,571912
Nelson Velázquez,Cubs,77,206,185,38,6,20,26,5,0.205,676369
Brian Serven,Rockies,62,205,187,38,6,19,16,0,0.203,661531
Seby Zavala,Sox,61,205,178,48,2,22,21,0,0.27,664874
Sam Haggerty,Mariners,83,201,176,45,5,29,23,13,0.256,664059
Cooper Hummel,Diamondbacks,66,201,176,31,3,20,17,4,0.176,669450
Sam Hilliard,Rockies,70,200,174,32,2,26,14,5,0.184,656541
Josh Lowe,Rays,52,198,181,40,2,24,13,3,0.221,666139
Odúbel Herrera,Phillies,62,197,185,44,5,23,21,6,0.238,546318
Tommy La Stella,Giants,60,195,180,43,2,17,14,0,0.239,600303
Michael Massey,Royals,52,194,173,42,4,16,17,3,0.243,686681
Anthony Rendon,Angels,47,193,166,38,5,15,24,2,0.229,543685
Yoshi Tsutsugo,Pirates,50,193,170,29,2,11,19,0,0.171,660294
Josh VanMeter,Pirates,67,192,171,32,3,15,14,4,0.187,642165
James McCann,Mets,61,191,174,34,3,19,18,3,0.195,543510
Stephen Vogt,Athletics,70,191,168,27,7,18,23,1,0.161,519390
Yu Chang,Sox,69,190,168,35,4,19,15,0,0.208,644374
Edmundo Sosa,Phillies,78,190,176,40,2,26,21,6,0.227,624641
Jonah Bride,Athletics,58,187,162,33,1,17,6,1,0.204,681146
Kevin Plawecki,Rangers,64,186,168,37,1,15,13,0,0.22,608700
Zach McKinstry,Cubs,57,185,166,33,5,21,14,7,0.199,656716
Elehuris Montero,Rockies,53,185,176,41,6,21,20,0,0.233,660707
Jed Lowrie,Athletics,50,184,167,30,3,14,16,1,0.18,476704
Tyler Nevin,Orioles,58,184,157,31,2,17,16,0,0.197,663527
Jake Burger,Sox,51,183,168,42,8,20,26,0,0.25,669394
Tyler Stephenson,Reds,50,183,166,53,6,24,35,1,0.319,663886
Nick Pratto,Royals,49,182,158,29,7,18,20,0,0.184,668472
Kris Bryant,Rockies,42,181,160,49,5,28,14,0,0.306,592178
Jarred Kelenic,Mariners,54,181,163,23,7,20,17,5,0.141,672284
Bubba Thompson,Rangers,55,181,170,45,1,18,9,18,0.265,669352
David Villar,Giants,52,181,156,36,9,21,24,0,0.231,681584
