checkpoint,model,target,stat,mae,n_players
2025-06-01,exponential_decay,ros,avg,0.028607,130
2025-06-01,exponential_decay,next_week,k_per_ip,0.299596,66
2025-06-01,exponential_decay,next_week,era,2.236193,66
2025-06-01,exponential_decay,next_week,whip,0.392612,66
2025-06-01,exponential_decay,next_week,w_per_gs,0.444427,66
2025-06-01,exponential_decay,next_week,sv_per_g,0.044328,66
2025-07-01,preseason,ros,k_per_ip,0.125476,72
2025-07-01,preseason,ros,era,1.078651,72
2025-07-01,preseason,ros,whip,0.190077,72
2025-07-01,preseason,ros,w_per_gs,0.143828,72
2025-07-01,preseason,ros,sv_per_g,0.038318,72
2025-07-01,preseason,next_week,hr_per_pa,0.032391,114
2025-07-01,preseason,next_week,r_per_pa,0.058629,114
2025-07-01,preseason,next_week,rbi_per_pa,0.079732,114
2025-07-01,preseason,next_week,sb_per_pa,0.020881,114
2025-07-01,preseason,next_week,avg,0.078005,114
2025-07-01,preseason,ros,hr_per_pa,0.010124,128
2025-07-01,preseason,ros,r_per_pa,0.017808,128
2025-07-01,preseason,ros,rbi_per_pa,0.02314,128
2025-07-01,preseason,ros,sb_per_pa,0.011192,128
2025-07-01,preseason,ros,avg,0.02445,128
2025-07-01,preseason,next_week,k_per_ip,0.307831,53
2025-07-01,preseason,next_week,era,2.164281,53
2025-07-01,preseason,next_week,whip,0.367327,53
2025-07-01,preseason,next_week,w_per_gs,0.362596,53
2025-07-01,preseason,next_week,sv_per_g,0.056555,53
2025-07-01,season_to_date,ros,k_per_ip,0.134249,72
2025-07-01,season_to_date,ros,era,1.156481,72
2025-07-01,season_to_date,ros,whip,0.221275,72
2025-07-01,season_to_date,ros,w_per_gs,0.13519,72
2025-07-01,season_to_date,ros,sv_per_g,0.036613,72
2025-07-01,season_to_date,next_week,hr_per_pa,0.03102,114
2025-07-01,season_to_date,next_week,r_per_pa,0.05974,114
2025-07-01,season_to_date,next_week,rbi_per_pa,0.078884,114
2025-07-01,season_to_date,next_week,sb_per_pa,0.019028,114
2025-07-01,season_to_date,next_week,avg,0.080805,114
2025-07-01,season_to_date,ros,hr_per_pa,0.013309,128
2025-07-01,season_to_date,ros,r_per_pa,0.026315,128
2025-07-01,season_to_date,ros,rbi_per_pa,0.031603,128
2025-07-01,season_to_date,ros,sb_per_pa,0.010786,128
2025-07-01,season_to_date,ros,avg,0.035509,128
2025-07-01,season_to_date,next_week,k_per_ip,0.305278,53
2025-07-01,season_to_date,next_week,era,2.049803,53
2025-07-01,season_to_date,next_week,whip,0.38525,53
2025-07-01,season_to_date,next_week,w_per_gs,0.345052,53
2025-07-01,season_to_date,next_week,sv_per_g,0.042306,53
2025-07-01,fixed_blend,ros,k_per_ip,0.117294,72
2025-07-01,fixed_blend,ros,era,1.136557,72
2025-07-01,fixed_blend,ros,whip,0.193167,72
2025-07-01,fixed_blend,ros,w_per_gs,0.144837,72
2025-07-01,fixed_blend,ros,sv_per_g,0.036714,72
2025-07-01,fixed_blend,next_week,hr_per_pa,0.031163,114
2025-07-01,fixed_blend,next_week,r_per_pa,0.05818,114
2025-07-01,fixed_blend,next_week,rbi_per_pa,0.077574,114
2025-07-01,fixed_blend,next_week,sb_per_pa,0.019684,114
2025-07-01,fixed_blend,next_week,avg,0.078578,114
2025-07-01,fixed_blend,ros,hr_per_pa,0.00988,128
2025-07-01,fixed_blend,ros,r_per_pa,0.019655,128
2025-07-01,fixed_blend,ros,rbi_per_pa,0.02314,128
2025-07-01,fixed_blend,ros,sb_per_pa,0.010716,128
2025-07-01,fixed_blend,ros,avg,0.028377,128
2025-07-01,fixed_blend,next_week,k_per_ip,0.292905,53
2025-07-01,fixed_blend,next_week,era,2.135852,53
2025-07-01,fixed_blend,next_week,whip,0.36283,53
2025-07-01,fixed_blend,next_week,w_per_gs,0.355758,53
2025-07-01,fixed_blend,next_week,sv_per_g,0.054807,53
2025-07-01,reliability_blend,ros,k_per_ip,0.103606,72
2025-07-01,reliability_blend,ros,era,1.035778,72
2025-07-01,reliability_blend,ros,whip,0.192339,72
2025-07-01,reliability_blend,ros,w_per_gs,0.142561,72
2025-07-01,reliability_blend,ros,sv_per_g,0.037454,72
2025-07-01,reliability_blend,next_week,hr_per_pa,0.030971,114
2025-07-01,reliability_blend,next_week,r_per_pa,0.058437,114
2025-07-01,reliability_blend,next_week,rbi_per_pa,0.077925,114
2025-07-01,reliability_blend,next_week,sb_per_pa,0.019686,114
2025-07-01,reliability_blend,next_week,avg,0.078257,114
2025-07-01,reliability_blend,ros,hr_per_pa,0.010552,128
2025-07-01,reliability_blend,ros,r_per_pa,0.019798,128
2025-07-01,reliability_blend,ros,rbi_per_pa,0.023511,128
2025-07-01,reliability_blend,ros,sb_per_pa,0.010067,128
2025-07-01,reliability_blend,ros,avg,0.0261,128
2025-07-01,reliability_blend,next_week,k_per_ip,0.301962,53
2025-07-01,reliability_blend,next_week,era,2.081933,53
2025-07-01,reliability_blend,next_week,whip,0.36906,53
2025-07-01,reliability_blend,next_week,w_per_gs,0.35795,53
2025-07-01,reliability_blend,next_week,sv_per_g,0.054541,53
2025-07-01,exponential_decay,ros,k_per_ip,0.13275,72
2025-07-01,exponential_decay,ros,era,1.254127,72
2025-07-01,exponential_decay,ros,whip,0.240891,72
2025-07-01,exponential_decay,ros,w_per_gs,0.158812,72
2025-07-01,exponential_decay,ros,sv_per_g,0.038771,72
2025-07-01,exponential_decay,next_week,hr_per_pa,0.032452,114
2025-07-01,exponential_decay,next_week,r_per_pa,0.058932,114
2025-07-01,exponential_decay,next_week,rbi_per_pa,0.079036,114
2025-07-01,exponential_decay,next_week,sb_per_pa,0.018939,114
2025-07-01,exponential_decay,next_week,avg,0.081788,114
2025-07-01,exponential_decay,ros,hr_per_pa,0.014029,128
2025-07-01,exponential_decay,ros,r_per_pa,0.023833,128
2025-07-01,exponential_decay,ros,rbi_per_pa,0.030381,128
2025-07-01,exponential_decay,ros,sb_per_pa,0.011511,128
2025-07-01,exponential_decay,ros,avg,0.033157,128
2025-07-01,exponential_decay,next_week,k_per_ip,0.293557,53
2025-07-01,exponential_decay,next_week,era,2.156016,53
2025-07-01,exponential_decay,next_week,whip,0.388428,53
2025-07-01,exponential_decay,next_week,w_per_gs,0.350364,53
2025-07-01,exponential_decay,next_week,sv_per_g,0.055432,53
2025-08-01,preseason,next_week,k_per_ip,0.309901,58
2025-08-01,preseason,next_week,era,2.677746,58
2025-08-01,preseason,next_week,whip,0.514925,58
2025-08-01,preseason,next_week,w_per_gs,0.45195,58
2025-08-01,preseason,next_week,sv_per_g,0.031546,58
2025-08-01,preseason,ros,k_per_ip,0.143979,66
2025-08-01,preseason,ros,era,1.180202,66
2025-08-01,preseason,ros,whip,0.204163,66
2025-08-01,preseason,ros,w_per_gs,0.132412,66
2025-08-01,preseason,ros,sv_per_g,0.039714,66
2025-08-01,preseason,next_week,hr_per_pa,0.03162,107
2025-08-01,preseason,next_week,r_per_pa,0.052918,107
2025-08-01,preseason,next_week,rbi_per_pa,0.073674,107
2025-08-01,preseason,next_week,sb_per_pa,0.024685,107
2025-08-01,preseason,next_week,avg,0.073011,107
2025-08-01,preseason,ros,hr_per_pa,0.011853,123
2025-08-01,preseason,ros,r_per_pa,0.020551,123
2025-08-01,preseason,ros,rbi_per_pa,0.027203,123
2025-08-01,preseason,ros,sb_per_pa,0.013701,123
2025-08-01,preseason,ros,avg,0.03123,123
2025-08-01,season_to_date,next_week,k_per_ip,0.325173,58
2025-08-01,season_to_date,next_week,era,2.656512,58
2025-08-01,season_to_date,next_week,whip,0.527323,58
2025-08-01,season_to_date,next_week,w_per_gs,0.411025,58
2025-08-01,season_to_date,next_week,sv_per_g,0.028449,58
2025-08-01,season_to_date,ros,k_per_ip,0.152065,66
2025-08-01,season_to_date,ros,era,1.157909,66
2025-08-01,season_to_date,ros,whip,0.219741,66
2025-08-01,season_to_date,ros,w_per_gs,0.147974,66
2025-08-01,season_to_date,ros,sv_per_g,0.044389,66
2025-08-01,season_to_date,next_week,hr_per_pa,0.033376,107
2025-08-01,season_to_date,next_week,r_per_pa,0.053954,107
2025-08-01,season_to_date,next_week,rbi_per_pa,0.071921,107
2025-08-01,season_to_date,next_week,sb_per_pa,0.024215,107
2025-08-01,season_to_date,next_week,avg,0.074863,107
