Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Jake Burger,Marlins,141,540,492,123,34,71,80,1,0.25,669394
J.T. Realmuto,Phillies,135,540,489,123,20,70,63,16,0.252,592663
Michael Harris II,Braves,138,539,505,148,18,76,57,20,0.293,671739
Corey Seager,Rangers,119,536,477,156,33,88,96,2,0.327,608369
Jack Suwinski,Pirates,144,534,447,100,26,63,74,13,0.224,669261
Orlando Arcia,Braves,139,533,488,129,17,66,65,1,0.264,606115
Thairo Estrada,Giants,120,530,495,134,14,63,49,23,0.271,642731
Matt Vierling,Tigers,134,530,479,125,10,63,44,6,0.261,663837
Jonathan India,Reds,119,529,454,111,17,78,61,14,0.244,663697
Tommy Edman,Cardinals,137,528,479,119,13,69,47,27,0.248,669242
Elias Díaz,Rockies,141,526,486,130,14,48,72,1,0.267,553869
Brent Rooker,Athletics,137,526,463,114,30,61,69,4,0.246,667670
Ke'Bryan Hayes,Pirates,124,525,494,134,15,65,61,10,0.271,663647
Tim Anderson,Sox,123,524,493,121,1,52,25,13,0.245,641313
Brandon Drury,Angels,125,523,485,127,26,61,83,0,0.262,592273
Jake Cronenworth,Padres,127,522,458,105,10,54,48,6,0.229,630105
Jurickson Profar,Padres,125,521,459,111,9,55,46,1,0.242,595777
LaMonte Wade Jr.,Giants,135,519,429,110,17,64,45,2,0.256,664774
Zach McKinstry,Tigers,148,518,464,107,9,60,35,16,0.231,656716
Myles Straw,Guardians,147,518,462,110,1,52,29,20,0.238,664702
Tyler Stephenson,Reds,142,517,465,113,13,59,56,0,0.243,663886
Eddie Rosario,Braves,142,516,478,122,21,64,74,3,0.255,592696
Maikel Garcia,Royals,123,515,464,126,4,59,50,23,0.272,672580
Josh Jung,Rangers,122,515,478,127,23,75,70,1,0.266,673962
Enrique Hernández,Dodgers,140,508,465,110,11,57,61,4,0.237,571771
Mark Canha,Brewers,139,507,435,114,11,51,62,11,0.262,592192
Lars Nootbaar,Cardinals,117,503,426,111,14,74,46,11,0.261,663457
Triston Casas,Sox,132,502,429,113,24,66,65,0,0.263,671213
Jonah Heim,Rangers,131,501,457,118,18,61,95,2,0.258,641680
Josh Lowe,Rays,135,501,466,136,20,71,83,32,0.292,666139
Esteury Ruiz,Athletics,132,497,449,114,5,47,47,67,0.254,665923
Yordan Alvarez,Astros,114,496,410,120,31,77,97,0,0.293,670541
Willson Contreras,Cardinals,125,495,428,113,20,55,67,6,0.264,575929
Josh Naylor,Guardians,121,495,452,139,17,52,97,10,0.308,647304
Ryan Noda,Athletics,128,495,406,93,16,63,54,3,0.229,676116
Geraldo Perdomo,Diamondbacks,144,495,407,100,6,71,47,16,0.246,672695
Mauricio Dubón,Astros,132,492,467,130,10,76,46,7,0.278,643289
Wander Franco,Rays,112,491,442,124,17,65,58,30,0.281,677551
Max Kepler,Twins,130,491,438,114,24,72,66,1,0.26,596146
Shea Langeliers,Athletics,135,490,448,92,22,52,63,3,0.205,669127
Eloy Jiménez,Sox,120,489,456,124,18,50,64,0,0.272,650391
Luis García Jr.,Nationals,122,482,447,119,9,61,50,9,0.266,671277
Tommy Pham,Diamondbacks,129,481,426,109,16,55,68,22,0.256,502054
J.D. Martinez,Dodgers,113,479,432,117,33,61,103,1,0.271,502110
Andrew McCutchen,Pirates,112,473,390,100,12,55,43,11,0.256,457705
Connor Joe,Pirates,133,472,413,102,11,63,42,3,0.247,656582
Brandon Marsh,Phillies,133,472,404,112,12,58,60,10,0.277,669016
Randal Grichuk,Angels,118,471,434,116,16,65,44,2,0.267,545341
Michael Conforto,Giants,125,470,406,97,15,58,58,4,0.239,624424
Ryan Mountcastle,Orioles,115,470,423,114,18,64,68,3,0.27,663624
Jordan Walker,Cardinals,117,465,420,116,16,51,51,7,0.276,691023
Nolan Gorman,Cardinals,119,464,406,96,27,59,76,7,0.236,669357
Michael Massey,Royals,129,461,428,98,15,42,55,6,0.229,686681
Kerry Carpenter,Tigers,118,459,418,116,20,57,64,6,0.278,681481
Aaron Judge,Yankees,106,458,367,98,37,79,75,3,0.267,592450
Garrett Cooper,Padres,123,457,422,106,17,42,61,0,0.251,643265
Chas McCormick,Astros,115,457,403,110,22,59,70,19,0.273,676801
Will Brennan,Guardians,138,455,432,115,5,41,41,13,0.266,686823
Adam Frazier,Orioles,141,455,412,99,13,59,60,11,0.24,624428
Cedric Mullins,Orioles,116,455,404,94,15,51,74,19,0.233,656775
Wilmer Flores,Giants,126,454,405,115,23,51,60,0,0.284,527038
Donovan Solano,Twins,134,450,394,111,5,43,38,0,0.282,456781
Brice Turang,Brewers,137,448,404,88,6,46,34,26,0.218,668930
Luis Rengifo,Angels,126,445,394,104,16,55,51,6,0.264,650859
Alex Call,Nationals,128,439,375,75,8,43,38,9,0.2,669743
Ezequiel Duran,Rangers,122,439,406,112,14,55,46,8,0.276,677649
Sean Murphy,Braves,108,438,370,93,21,65,68,0,0.251,669221
Brandon Lowe,Rays,109,436,377,87,21,58,68,7,0.231,664040
Harold Ramírez,Rays,122,434,400,125,12,58,68,5,0.312,623912
Brenton Doyle,Rockies,126,431,399,81,10,48,48,22,0.203,686668
Jace Peterson,Diamondbacks,134,430,374,79,6,35,37,15,0.211,607054
Christopher Morel,Cubs,107,429,388,96,26,62,70,6,0.247,666624
Elly De La Cruz,Reds,98,427,388,91,13,67,44,35,0.235,682829
Joc Pederson,Giants,121,425,358,84,15,59,51,0,0.235,592626
Jon Berti,Marlins,133,424,388,114,7,53,33,16,0.294,542932
Nolan Jones,Rockies,106,424,367,109,20,60,62,20,0.297,666134
Francisco Alvarez,Mets,123,423,382,80,25,51,63,2,0.209,682626
Miguel Rojas,Dodgers,125,423,385,91,5,49,31,8,0.236,500743
Alejandro Kirk,Jays,123,422,372,93,8,34,43,0,0.25,672386
David Peralta,Dodgers,133,422,394,102,7,47,55,4,0.259,444482
Anthony Rizzo,Yankees,99,421,373,91,12,45,41,0,0.244,519203
Robbie Grossman,Rangers,115,420,353,84,10,56,49,1,0.238,543257
Yan Gomes,Cubs,116,419,382,102,10,44,63,1,0.267,543228
Tony Kemp,Athletics,124,419,359,75,5,42,27,15,0.209,643393
Riley Greene,Tigers,99,416,378,109,11,51,37,7,0.288,682985
Jarred Kelenic,Mariners,105,416,372,94,11,44,49,13,0.253,672284
Giancarlo Stanton,Yankees,101,415,371,71,24,43,60,0,0.191,519317
Charlie Blackmon,Rockies,96,413,359,100,8,57,40,4,0.279,453568
Jose Altuve,Astros,90,410,360,112,17,76,51,14,0.311,514888
Joey Wiemer,Brewers,132,410,367,75,13,48,42,11,0.204,686894
Willi Castro,Twins,124,409,358,92,9,60,34,33,0.257,650489
Taylor Ward,Angels,97,409,356,90,14,60,47,4,0.253,621493
Edouard Julien,Twins,109,408,338,89,16,60,37,3,0.263,666397
Kevin Kiermaier,Jays,129,408,370,98,8,58,36,14,0.265,595281
Martín Maldonado,Astros,117,407,362,69,15,33,36,0,0.191,455117
Elvis Andrus,Sox,112,406,374,94,6,39,44,12,0.251,462101
Luke Raley,Rays,118,406,357,89,19,56,49,14,0.249,670042
Yasmani Grandal,Sox,118,405,363,85,8,33,33,0,0.234,518735
Brandon Belt,Jays,103,404,339,86,19,53,43,0,0.254,474832
Ramón Laureano,Guardians,105,404,361,81,9,46,35,12,0.224,657656
Matt McLain,Reds,89,403,365,106,16,65,50,14,0.29,680574
Connor Wong,Sox,126,403,371,87,9,55,36,8,0.235,657136
Jesús Sánchez,Marlins,125,402,360,91,14,43,52,3,0.253,660821
Alek Thomas,Diamondbacks,125,402,374,86,9,51,39,9,0.23,677950
Mike Tauchman,Cubs,108,401,337,85,8,64,48,7,0.252,643565
Paul DeJong,Giants,112,400,372,77,14,41,38,4,0.207,657557
Ramón Urías,Orioles,116,396,360,95,4,45,42,3,0.264,602104
Brett Baty,Mets,108,389,353,75,9,41,34,2,0.212,683146
Michael A. Taylor,Twins,129,388,355,78,21,48,51,13,0.22,572191
Mike Moustakas,Angels,112,386,352,87,12,43,48,0,0.247,519058
Edward Olivares,Royals,107,385,354,93,12,47,36,11,0.263,658668
Chris Taylor,Dodgers,117,384,338,80,15,51,56,16,0.237,621035
Jazz Chisholm Jr.,Marlins,97,383,352,88,19,50,51,22,0.25,665862
Andy Ibáñez,Tigers,114,383,356,94,11,42,41,1,0.264,628451
Mike Yastrzemski,Giants,106,381,330,77,15,54,43,2,0.233,573262
Jake Fraley,Reds,111,380,336,86,15,41,65,21,0.256,641584
Gabriel Moreno,Diamondbacks,111,380,341,97,7,33,50,6,0.284,672515
Seth Brown,Athletics,112,378,343,76,14,33,52,3,0.222,664913
Yainer Diaz,Astros,104,377,355,100,23,51,60,0,0.282,673237
Jason Heyward,Dodgers,124,377,334,90,15,56,40,2,0.269,518792
Ji Hwan Bae,Pirates,111,371,334,77,2,54,32,24,0.231,678225
Brendan Donovan,Cardinals,95,371,327,93,11,48,34,5,0.284,680977
Miguel Cabrera,Tigers,98,370,334,86,4,21,34,0,0.257,408234
Kyle Farmer,Twins,120,369,336,86,11,49,46,2,0.256,571657
Ryan O'Hearn,Orioles,112,368,346,100,14,48,60,5,0.289,656811
Jake Rogers,Tigers,107,365,331,73,21,47,49,1,0.221,668670
Jose Siri,Rays,101,364,338,75,25,58,56,12,0.222,642350
Jarren Duran,Sox,102,362,332,98,8,46,40,24,0.295,680776
Mike Trout,Angels,82,362,308,81,18,54,44,2,0.263,545361
Brian Anderson,Brewers,96,361,318,72,9,38,40,1,0.226,605119
Isiah Kiner-Falefa,Yankees,115,361,326,79,6,39,37,14,0.242,643396
Akil Baddoo,Tigers,112,357,312,68,11,40,34,14,0.218,668731
Yoán Moncada,Sox,92,357,334,87,11,39,40,1,0.26,660162
Christian Vázquez,Twins,102,355,327,73,6,34,32,1,0.223,543877
Patrick Bailey,Giants,97,353,326,76,7,29,48,1,0.233,672275
Adam Duvall,Sox,92,353,320,79,21,45,58,4,0.247,594807
Rowdy Tellez,Brewers,106,351,311,67,13,26,47,0,0.215,642133
Jorge Mateo,Orioles,116,350,318,69,7,58,34,32,0.217,622761
Josh Rojas,Mariners,105,350,314,77,4,47,40,12,0.245,668942
Taylor Walls,Rays,99,349,303,61,8,50,36,22,0.201,670764
Alec Burleson,Cardinals,107,347,315,77,8,34,36,3,0.244,676475
Byron Buxton,Twins,85,347,304,63,17,49,42,9,0.207,621439
Gabriel Arias,Guardians,122,345,315,66,10,36,26,3,0.21,672356
Nick Pratto,Royals,95,345,306,71,7,33,35,1,0.232,668472
Harrison Bader,Reds,98,344,319,74,7,44,40,20,0.232,664056
Aledmys Díaz,Athletics,109,344,315,72,4,25,24,1,0.229,649557
Mitch Garver,Rangers,87,344,296,80,19,45,50,0,0.27,641598
Blake Sabol,Giants,110,344,310,73,13,36,44,4,0.235,666165
Gavin Sheets,Sox,118,344,311,63,10,24,43,1,0.203,657757
Jorge Polanco,Twins,80,343,302,77,14,38,48,4,0.255,593871
Starling Marte,Mets,86,341,315,78,5,38,28,24,0.248,516782
Jake Meyers,Astros,112,341,309,70,10,42,33,5,0.227,676694
Cavan Biggio,Jays,111,338,289,68,9,54,40,5,0.235,624415
Drew Waters,Royals,98,337,302,69,8,40,32,16,0.228,671221
Manuel Margot,Rays,99,336,311,82,4,39,38,9,0.264,622534
Kris Bryant,Rockies,80,335,300,70,10,36,31,0,0.233,592178
Ryan Jeffers,Twins,96,335,286,79,14,46,43,3,0.276,680777
Christian Bethancourt,Rays,104,332,315,71,11,49,33,1,0.225,542194
Joey Gallo,Twins,111,332,282,50,21,39,40,1,0.177,608336
Oswaldo Cabrera,Yankees,115,330,298,63,5,35,29,8,0.211,665828
Nick Senzel,Reds,104,330,301,71,13,49,42,6,0.236,669222
Nick Allen,Athletics,106,329,303,67,4,29,20,5,0.221,669397
Will Benson,Reds,108,329,287,79,11,51,31,19,0.275,666181
Yuli Gurriel,Marlins,108,329,298,73,4,32,27,4,0.245,493329
Zach Neto,Angels,84,329,289,65,9,38,34,5,0.225,687263
Jean Segura,Marlins,85,326,301,66,3,25,21,6,0.219,516416
Nick Fortes,Marlins,108,323,294,60,6,33,26,4,0.204,663743
Corey Julks,Astros,93,323,298,73,6,35,33,15,0.245,667452
Mickey Moniak,Angels,85,323,311,87,14,35,45,6,0.28,666160
Brandon Crawford,Giants,94,320,283,55,7,31,38,3,0.194,543063
Alex Kirilloff,Twins,88,319,281,76,11,35,41,1,0.27,666135
Daniel Vogelbach,Mets,104,319,275,64,13,33,48,0,0.233,596129
Joey Wendle,Marlins,112,318,297,63,2,33,20,7,0.212,621563
Andruw Monasterio,Brewers,92,315,282,73,3,38,27,7,0.259,655316
Owen Miller,Brewers,90,314,291,76,5,29,27,13,0.261,680911
Kyle Isbel,Royals,91,313,292,70,5,45,34,7,0.24,664728
Aaron Hicks,Orioles,93,312,269,68,8,44,36,6,0.253,543305
Jake McCarthy,Diamondbacks,99,312,276,67,2,37,16,26,0.243,664983
Eduardo Escobar,Angels,100,309,288,65,6,32,31,2,0.226,500871
Elehuris Montero,Rockies,85,307,284,69,11,40,39,0,0.243,660707
Matt Thaiss,Angels,95,307,262,56,9,32,31,2,0.214,642136
Miguel Vargas,Dodgers,81,304,256,50,7,36,32,3,0.195,678246
JJ Bleday,Athletics,82,303,256,50,10,35,27,5,0.195,668709
Patrick Wisdom,Cubs,97,302,268,55,23,43,46,4,0.205,621550
Danny Jansen,Jays,86,301,268,61,17,38,53,0,0.228,643376
Zack Gelof,Athletics,69,300,270,72,14,40,32,14,0.267,680869
Edmundo Sosa,Phillies,104,300,279,70,10,34,30,4,0.251,624641
Nick Madrigal,Cubs,92,294,270,71,2,34,28,10,0.263,663611
Jordan Diaz,Athletics,90,293,272,60,10,20,27,0,0.221,672478
Eric Haase,Guardians,89,293,274,55,4,22,26,4,0.201,606992
Nick Maton,Tigers,93,293,249,43,8,29,32,1,0.173,665155
Travis d'Arnaud,Braves,74,292,267,60,11,31,39,0,0.225,518595
Travis Jankowski,Rangers,107,287,247,65,1,34,30,19,0.263,608671
Ildemaro Vargas,Nationals,86,286,262,66,4,32,31,1,0.252,545121
Emmanuel Rivera,Diamondbacks,86,283,257,67,4,32,29,1,0.261,656896
José Caballero,Mariners,104,280,231,51,4,37,26,26,0.221,676609
C.J. Cron,Angels,71,278,258,64,12,38,37,0,0.248,543068
Casey Schmitt,Giants,90,277,253,52,5,28,30,2,0.206,669477
Jacob Stallings,Marlins,89,276,241,46,3,22,20,0,0.191,607732
Jake Bauers,Yankees,84,272,242,49,12,28,30,3,0.202,641343
Stone Garrett,Nationals,89,271,234,63,9,40,40,3,0.269,656448
Harold Castro,Rockies,99,270,258,65,1,24,31,1,0.252,605612
Gary Sánchez,Padres,75,267,240,52,19,33,47,0,0.217,596142
Tyler O'Neill,Cardinals,72,266,238,55,9,27,21,5,0.231,641933
Joshua Palacios,Pirates,91,264,247,59,10,26,40,5,0.239,641943
Oscar Colás,Sox,75,263,245,53,5,32,19,4,0.216,693049
Trey Mancini,Cubs,79,263,235,55,4,31,28,0,0.234,641820
Nicky Lopez,Braves,94,262,225,52,1,32,25,6,0.231,670032
Kyle Higashioka,Yankees,92,260,242,57,10,24,34,0,0.236,543309
Vinnie Pasquantino,Royals,61,260,231,57,9,24,26,0,0.247,686469
Rodolfo Castro,Phillies,92,256,227,48,6,21,24,1,0.211,666801
Dylan Carlson,Cardinals,76,255,219,48,5,27,27,3,0.219,666185
Henry Davis,Pirates,62,255,225,48,7,27,24,3,0.213,680779
Stuart Fairchild,Reds,97,255,219,50,5,34,28,10,0.228,656413
Santiago Espinal,Jays,93,254,230,57,2,30,25,2,0.248,669289
Matt Wallner,Twins,76,254,213,53,14,42,41,2,0.249,670242
Luis Matos,Giants,76,253,228,57,2,24,14,3,0.25,682641
Kevin Newman,Reds,74,253,225,57,3,28,28,8,0.253,621028
Zack Short,Tigers,112,253,221,45,7,17,33,5,0.204,670097
Garrett Hampson,Marlins,98,252,221,61,3,30,23,5,0.276,641658
Mike Ford,Mariners,84,251,219,50,16,32,34,0,0.228,645801
Kolten Wong,Dodgers,87,250,224,41,4,25,27,3,0.183,543939
Rob Refsnyder,Sox,89,243,202,50,1,31,28,7,0.248,608701
Tyrone Taylor,Brewers,81,243,231,54,10,36,35,9,0.234,621438
Joey Votto,Reds,65,242,208,42,14,26,38,0,0.202,458015
Christian Encarnacion-Strand,Reds,63,241,222,60,13,29,37,2,0.27,687952
Andrew Knizner,Cardinals,70,241,224,54,10,30,31,2,0.241,668800
Royce Lewis,Twins,58,239,217,67,15,36,52,6,0.309,668904
Matt Carpenter,Padres,76,237,188,33,5,18,31,1,0.176,572761
Evan Longoria,Diamondbacks,74,237,211,47,11,25,28,0,0.223,446334
Freddy Fermin,Royals,70,235,217,61,9,26,32,0,0.281,666023
Mark Vientos,Mets,65,233,218,46,9,19,22,1,0.211,668901
Josh Smith,Rangers,90,232,195,36,6,29,15,1,0.185,669701
Bo Naylor,Guardians,67,230,198,47,11,33,32,5,0.237,666310
Mitch Haniger,Giants,61,229,211,44,6,27,28,1,0.209,571745
Pavin Smith,Diamondbacks,69,228,191,36,7,26,30,1,0.188,656976
Gio Urshela,Angels,62,228,214,64,2,22,24,3,0.299,570482
Jordan Westburg,Orioles,68,228,208,54,3,26,23,4,0.26,676059
Alan Trejo,Rockies,83,227,207,48,4,24,26,5,0.232,676701
Victor Caratini,Brewers,62,226,201,52,7,23,25,1,0.259,605170
James McCann,Orioles,70,226,207,46,6,25,26,3,0.222,543510
Sal Frelick,Brewers,57,223,191,47,3,29,24,7,0.246,686217
Tucupita Marcano,Pirates,75,220,202,47,3,16,18,5,0.233,672779
Liover Peguero,Pirates,59,213,198,47,7,21,26,6,0.237,678894
Austin Hedges,Rangers,82,212,185,34,1,14,16,1,0.184,595978
Trevor Larnach,Twins,58,212,183,39,8,26,40,1,0.213,663616
Nick Ahmed,Diamondbacks,72,210,198,42,2,14,17,5,0.212,605113
Matt Duffy,Royals,79,209,191,48,2,17,16,1,0.251,622110
Jared Triolo,Pirates,54,209,181,54,3,30,21,6,0.298,669707
Austin Slater,Giants,89,207,185,50,5,24,20,2,0.27,596103
Christian Arroyo,Sox,66,206,195,47,3,23,24,1,0.241,624414
Reese McGuire,Sox,72,206,187,50,1,15,16,2,0.267,624512
Kevin Pillar,Braves,81,206,197,45,9,29,32,4,0.228,607680
Endy Rodríguez,Pirates,57,204,186,41,3,27,13,0,0.22,682848
Jake Cave,Phillies,65,203,184,39,5,18,21,3,0.212,595909
Austin Barnes,Dodgers,59,200,178,32,2,15,11,2,0.18,605131
Luke Maile,Reds,78,199,179,42,6,17,25,2,0.235,571912
Logan O'Hoppe,Angels,51,199,182,43,14,23,29,0,0.236,681351
Jesse Winker,Brewers,61,197,166,33,1,16,23,0,0.199,608385
Seby Zavala,Diamondbacks,73,193,175,30,7,17,18,1,0.171,664874
Brendan Rodgers,Rockies,46,192,178,46,4,21,20,0,0.258,663898
Oswald Peraza,Yankees,52,191,173,33,2,15,14,4,0.191,672724
Josh Donaldson,Brewers,51,189,165,25,13,18,26,0,0.152,518626
Carlos Pérez,Athletics,68,189,168,38,6,17,20,0,0.226,542208
Jason Delay,Pirates,70,187,167,42,1,20,18,0,0.251,641511
Pablo Reyes,Sox,64,185,167,48,2,27,20,7,0.287,622569
DJ Stewart,Mets,58,185,160,39,11,21,26,1,0.244,621466
Anthony Rendon,Angels,43,183,148,35,2,23,22,2,0.236,543685
Dominic Canzone,Mariners,59,182,173,38,6,23,21,1,0.22,686527
Oscar Gonzalez,Guardians,54,180,173,37,2,15,12,0,0.214,660757
Trayce Thompson,Sox,72,179,153,25,6,17,17,2,0.163,572204
Nelson Velázquez,Royals,53,179,162,38,17,35,34,0,0.235,676369
Luis Urías,Sox,52,177,144,28,3,18,18,0,0.194,649966
Jake Alu,Nationals,51,175,159,36,2,14,16,5,0.226,666906
Kole Calhoun,Guardians,43,174,157,34,6,18,25,0,0.217,594777
Luis Campusano,Padres,49,174,163,52,7,27,30,0,0.319,669134
