Name,Team,W,L,SV,G,GS,IP,SO,ER,BB,H,ERA,WHIP,MLBAMID
Tanner Houck,Sox,9,10,0,30,30,178.7,154,62,48,156,3.12,1.14,656557
Bailey Ober,Twins,12,9,0,31,31,178.7,191,79,43,136,3.98,1.0,641927
Mitch Keller,Pirates,11,12,0,31,31,178.0,166,84,50,182,4.25,1.3,656605
Chris Sale,Braves,18,3,0,29,29,177.7,225,47,39,141,2.38,1.01,519242
Erick Fedde,Cardinals,9,9,0,31,31,177.3,154,65,52,154,3.3,1.16,607200
Framber Valdez,Astros,15,7,0,28,28,176.3,169,57,55,140,2.91,1.11,664285
Yusei Kikuchi,Astros,9,10,0,32,32,175.7,206,79,44,167,4.05,1.2,579328
Luis Castillo,Mariners,11,12,0,30,30,175.3,175,71,47,158,3.64,1.17,622491
Carlos Rodón,Yankees,16,9,0,32,32,175.0,195,77,57,157,3.96,1.22,607074
Patrick Corbin,Nationals,6,13,0,32,32,174.7,139,109,54,208,5.62,1.5,571578
Nestor Cortes,Yankees,9,10,0,31,30,174.3,162,73,39,162,3.77,1.15,641482
Max Fried,Braves,11,10,0,29,29,174.3,166,63,57,146,3.25,1.16,608331
Tanner Bibee,Guardians,12,8,0,31,31,173.7,187,67,44,150,3.47,1.12,676440
Michael King,Padres,13,9,0,31,30,173.7,201,57,63,144,2.95,1.19,650633
Freddy Peralta,Brewers,11,9,0,32,32,173.7,200,71,68,143,3.68,1.21,642547
Shota Imanaga,Cubs,15,3,0,29,29,173.3,174,56,28,149,2.91,1.02,684007
Griffin Canning,Angels,6,13,0,32,31,171.7,130,99,66,174,5.19,1.4,656288
Miles Mikolas,Cardinals,10,11,0,32,32,171.7,122,102,25,194,5.35,1.28,571945
Chris Bassitt,Jays,10,14,0,31,31,171.0,168,79,70,180,4.16,1.46,605135
Nathan Eovaldi,Rangers,12,8,0,29,29,170.7,166,72,42,147,3.8,1.11,543135
Jose Quintana,Mets,10,10,0,31,31,170.3,135,71,63,150,3.75,1.25,500779
Hunter Brown,Astros,11,9,0,31,30,170.0,179,66,60,156,3.49,1.27,686613
Kyle Gibson,Cardinals,8,8,0,30,30,169.7,151,80,68,161,4.24,1.35,502043
Colin Rea,Brewers,12,6,1,32,27,167.7,135,80,43,169,4.29,1.26,607067
Ronel Blanco,Astros,13,6,0,30,29,167.3,166,52,68,114,2.8,1.09,669854
Michael Wacha,Royals,13,8,0,29,29,166.7,145,62,45,154,3.35,1.19,608379
MacKenzie Gore,Nationals,10,12,0,32,32,166.3,181,72,65,171,3.9,1.42,669022
Sonny Gray,Cardinals,13,9,0,28,28,166.3,203,71,39,142,3.84,1.09,543243
Zach Eflin,Orioles,10,9,0,28,28,165.3,134,66,24,166,3.59,1.15,621107
Charlie Morton,Braves,8,10,0,30,30,165.3,167,77,65,154,4.19,1.32,450203
Jameson Taillon,Cubs,12,8,0,28,28,165.3,125,60,33,154,3.27,1.13,592791
Austin Gomber,Rockies,5,12,0,30,30,165.0,116,87,38,178,4.75,1.31,596295
Brayan Bello,Sox,14,8,0,30,30,162.3,153,81,64,157,4.49,1.36,678394
Ryan Feltner,Rockies,3,10,0,30,30,162.3,138,81,52,165,4.49,1.34,663372
Jack Flaherty,Dodgers,13,7,0,28,28,162.0,194,57,38,135,3.17,1.07,656427
Aaron Civale,Brewers,8,9,0,31,31,161.0,149,78,52,158,4.36,1.3,650644
Chris Flexen,Sox,3,15,0,33,30,160.0,123,88,63,180,4.95,1.52,623167
Andrew Heaney,Rangers,5,14,0,32,31,160.0,159,76,41,159,4.28,1.25,571760
Zack Littell,Rays,8,10,0,29,29,156.3,141,63,31,164,3.63,1.25,641793
Marcus Stroman,Yankees,10,9,1,30,29,154.7,113,74,60,167,4.31,1.47,573186
Luis Gil,Yankees,15,7,0,29,29,151.7,171,59,77,104,3.5,1.19,661563
Mitch Spence,Athletics,8,10,0,35,24,151.3,126,77,44,165,4.58,1.38,687765
Ben Lively,Guardians,13,10,0,29,29,151.0,118,64,49,139,3.81,1.25,594902
Mitchell Parker,Nationals,7,10,0,29,29,151.0,133,72,43,154,4.29,1.3,680730
Frankie Montas,Brewers,7,11,0,30,30,150.7,148,81,66,140,4.84,1.37,593423
Ryne Nelson,Diamondbacks,10,6,1,28,25,150.7,126,71,34,155,4.24,1.25,669194
Ranger Suarez,Phillies,12,8,0,27,27,150.7,145,58,41,140,3.46,1.2,624133
Hunter Greene,Reds,9,5,0,26,26,150.3,169,46,57,96,2.75,1.02,668881
Cal Quantrill,Rockies,8,11,0,29,29,148.3,110,82,69,156,4.98,1.52,615698
Zac Gallen,Diamondbacks,14,6,0,28,28,148.0,156,60,54,133,3.65,1.26,668678
Javier Assad,Cubs,7,6,0,29,29,147.0,124,61,63,143,3.73,1.4,665871
Matt Waldron,Padres,7,11,0,27,26,146.7,133,80,40,145,4.91,1.26,663362
Garrett Crochet,Sox,6,12,0,32,32,146.0,209,58,33,123,3.58,1.07,676979
Nick Pivetta,Sox,6,12,0,27,26,145.7,172,67,36,128,4.14,1.13,601713
Spencer Arrighetti,Astros,7,13,0,29,28,145.0,171,73,65,139,4.53,1.41,681293
Bailey Falter,Pirates,8,9,0,28,28,142.3,97,70,45,138,4.43,1.29,663559
Nick Martinez,Reds,10,7,0,42,16,142.3,116,49,18,128,3.1,1.03,607259
Gavin Stone,Dodgers,11,5,0,25,25,140.3,116,55,37,133,3.53,1.21,694813
Andrew Abbott,Reds,10,10,0,25,25,138.0,114,57,52,127,3.72,1.3,671096
Taj Bradley,Rays,8,11,0,25,25,138.0,154,63,47,122,4.11,1.22,671737
Tobias Myers,Brewers,9,6,0,27,25,138.0,127,46,36,126,3.0,1.17,668964
Reynaldo López,Braves,8,5,0,26,25,135.7,148,30,42,108,1.99,1.11,625643
Luis Ortiz,Pirates,7,6,1,37,15,135.7,107,50,42,109,3.32,1.11,682847
Martín Pérez,Padres,5,6,0,26,26,135.0,107,68,49,151,4.53,1.48,527048
Joe Ryan,Twins,7,7,0,23,23,135.0,147,54,23,110,3.6,0.99,657746
Justin Steele,Cubs,5,5,0,24,24,134.7,135,46,37,111,3.07,1.1,657006
Tyler Glasnow,Dodgers,9,6,0,22,22,134.0,168,52,35,92,3.49,0.95,607192
Albert Suárez,Orioles,9,7,0,32,24,133.7,108,55,43,130,3.7,1.29,544150
Simeon Woods Richardson,Twins,5,5,0,28,28,133.7,117,62,48,125,4.17,1.29,680573
Paul Skenes,Pirates,11,3,0,23,23,133.0,170,29,32,94,1.96,0.95,694973
Kyle Hendricks,Cubs,4,12,0,29,24,130.7,87,86,43,147,5.92,1.45,543294
Michael Lorenzen,Royals,7,6,0,26,24,130.3,97,48,60,101,3.31,1.24,547179
Ryan Pepiot,Rays,8,8,0,26,26,130.0,142,52,48,102,3.6,1.15,686752
Dean Kremer,Orioles,8,10,0,24,24,129.7,123,59,51,110,4.1,1.24,665152
Alec Marsh,Royals,9,9,0,26,25,129.0,123,65,39,123,4.53,1.26,679525
Joey Estes,Athletics,7,9,0,25,24,127.7,92,71,27,130,5.01,1.23,683155
Jonathan Cannon,Sox,5,10,1,23,21,124.3,91,62,40,125,4.49,1.33,686563
Kyle Harrison,Giants,7,7,0,24,24,124.3,118,63,42,125,4.56,1.34,690986
Trevor Rogers,Orioles,2,11,0,25,25,124.3,97,68,56,140,4.92,1.58,669432
Spencer Schwellenbach,Braves,8,7,0,21,21,123.7,127,46,23,106,3.35,1.04,680885
Jared Jones,Pirates,6,8,0,22,22,121.7,132,56,39,106,4.14,1.19,683003
Andre Pallante,Cardinals,8,8,0,29,20,121.3,94,51,48,110,3.78,1.3,669467
Bryan Woo,Mariners,9,3,0,22,22,121.3,101,39,13,96,2.89,0.9,693433
David Peterson,Mets,10,3,0,21,21,121.0,101,39,46,110,2.9,1.29,656849
Lance Lynn,Cardinals,7,4,0,23,23,117.3,109,50,44,113,3.84,1.34,458681
Jordan Montgomery,Diamondbacks,8,7,1,25,21,117.0,83,81,44,149,6.23,1.65,656756
Grayson Rodriguez,Orioles,13,4,0,20,20,116.7,130,50,36,109,3.86,1.24,680570
Nick Lodolo,Reds,9,6,0,21,21,115.3,122,61,37,101,4.76,1.2,666157
Kyle Freeland,Rockies,5,8,0,21,21,113.3,85,66,26,134,5.24,1.41,607536
José Soriano,Angels,6,7,0,22,20,113.0,97,43,45,91,3.42,1.2,667755
Kenta Maeda,Tigers,3,7,0,29,17,112.3,96,76,31,124,6.09,1.38,628317
Reese Olson,Tigers,4,8,0,22,22,112.3,101,44,33,100,3.53,1.18,681857
Cole Irvin,Twins,6,6,1,29,16,111.0,78,63,29,132,5.11,1.45,608344
Jordan Hicks,Giants,4,7,1,29,20,109.7,96,50,47,112,4.1,1.45,663855
José Ureña,Rangers,5,8,1,33,9,109.0,70,46,39,105,3.8,1.32,570632
Tyler Alexander,Rays,6,5,0,23,9,107.7,90,61,24,110,5.1,1.24,641302
Bryse Wilson,Brewers,5,4,0,34,9,104.7,82,47,31,102,4.04,1.27,669060
Blake Snell,Giants,5,3,0,20,20,104.0,145,36,44,65,3.12,1.05,605483
Carlos Carrasco,Guardians,3,10,0,21,21,103.7,89,65,33,112,5.64,1.4,471911
Bowden Francis,Jays,8,5,0,27,13,103.7,92,38,22,74,3.3,0.93,670102
Jon Gray,Rangers,5,6,0,23,19,102.7,86,51,28,107,4.47,1.31,592351
Casey Mize,Tigers,2,6,0,22,20,102.3,78,51,29,121,4.49,1.47,663554
James Paxton,Sox,9,3,0,21,21,100.3,73,49,50,95,4.4,1.45,572020
Joe Musgrove,Padres,6,5,0,19,19,99.7,101,43,23,94,3.88,1.17,605397
Cooper Criswell,Sox,6,5,0,26,18,99.3,73,45,31,103,4.08,1.35,681867
Ryan Yarbrough,Jays,5,2,1,44,0,98.7,65,35,32,70,3.19,1.03,642232
Keider Montero,Tigers,6,6,0,19,16,98.3,77,52,31,100,4.76,1.33,672456
Randy Vásquez,Padres,4,7,0,20,20,98.0,62,53,29,119,4.87,1.51,681190
Logan Allen,Guardians,8,5,0,20,20,97.3,79,62,41,113,5.73,1.58,671106
Edward Cabrera,Marlins,4,8,0,20,20,96.3,107,53,50,82,4.95,1.37,665795
Gerrit Cole,Yankees,8,5,0,17,17,95.0,99,36,29,78,3.41,1.13,543037
Dane Dunning,Rangers,5,7,0,26,15,95.0,91,56,40,97,5.31,1.44,641540
Tyler Holton,Tigers,7,2,8,66,9,94.3,77,23,17,57,2.19,0.78,663947
Carson Spiers,Reds,5,7,0,22,10,90.7,80,55,27,112,5.46,1.53,686730
Justin Verlander,Astros,5,6,0,17,17,90.3,74,55,27,98,5.48,1.38,434378
Derek Law,Nationals,7,4,1,75,0,90.0,76,26,24,82,2.6,1.18,571882
Yoshinobu Yamamoto,Dodgers,7,2,0,18,18,90.0,105,30,22,78,3.0,1.11,808967
Dakota Hudson,Rockies,2,12,0,18,18,89.0,49,61,50,99,6.17,1.67,641712
DJ Herz,Nationals,4,9,0,19,19,88.7,106,41,36,76,4.16,1.26,687792
Chris Paddack,Twins,5,3,0,17,17,88.3,79,49,21,102,4.99,1.39,663978
Reid Detmers,Angels,4,9,0,17,17,87.3,109,65,38,98,6.7,1.56,672282
Carson Fulmer,Angels,0,5,0,37,8,86.7,81,40,40,81,4.15,1.4,608334
Yariel Rodríguez,Jays,1,8,0,21,21,86.7,85,43,40,74,4.47,1.32,684320
Ryan Weathers,Marlins,5,6,0,16,16,86.7,80,35,24,78,3.63,1.18,677960
Matthew Liberatore,Cardinals,3,4,0,60,6,86.0,76,42,28,81,4.4,1.27,669461
Clarke Schmidt,Yankees,5,5,0,16,16,85.3,93,27,30,71,2.85,1.18,657376
Ross Stripling,Athletics,2,11,0,22,14,85.3,49,57,22,109,6.01,1.54,548389
Luke Weaver,Yankees,7,3,4,62,0,84.0,103,27,26,52,2.89,0.93,596133
Taijuan Walker,Phillies,3,7,0,19,15,83.7,58,66,37,107,7.1,1.72,592836
Pedro Avila,Guardians,6,1,1,54,0,82.7,82,35,36,73,3.81,1.32,658648
Roddery Muñoz,Marlins,2,7,0,18,17,82.7,70,60,42,89,6.53,1.58,682610
Yu Darvish,Padres,7,3,0,16,16,81.7,78,30,22,65,3.31,1.07,506433
Sean Hjelle,Giants,3,4,0,58,0,80.7,75,35,14,84,3.9,1.21,663546
Ryan Walker,Giants,10,4,10,76,1,80.0,99,17,18,50,1.91,0.85,676254
Cade Povich,Orioles,3,9,0,16,16,79.7,69,46,34,80,5.2,1.43,700249
Patrick Sandoval,Angels,2,8,0,16,16,79.7,81,45,35,85,5.08,1.51,663776
Michael Soroka,Sox,0,10,0,25,9,79.7,84,42,44,66,4.74,1.38,647336
Shane Baz,Rays,4,3,0,14,14,79.3,69,27,27,57,3.06,1.06,669358
Michael Tonkin,Twins,4,4,2,57,0,79.3,85,32,30,70,3.63,1.26,543859
Keegan Akin,Orioles,3,1,1,66,0,78.7,97,29,19,55,3.32,0.94,669211
Bryan Abreu,Astros,3,3,1,78,0,78.3,103,27,32,59,3.1,1.16,650556
Tylor Megill,Mets,4,5,0,16,15,78.0,91,35,32,70,4.04,1.31,656731
Graham Ashcraft,Reds,5,5,0,15,15,77.3,57,45,27,89,5.24,1.5,668933
Slade Cecconi,Diamondbacks,2,7,0,20,13,77.0,64,57,17,92,6.66,1.42,677944
Cody Bradford,Rangers,6,3,0,14,13,76.3,70,30,13,64,3.54,1.01,674003
Gavin Williams,Guardians,3,10,0,16,16,76.0,79,41,32,72,4.86,1.37,668909
Josh Winckowski,Sox,4,2,2,40,6,76.0,60,35,26,81,4.14,1.41,670174
Triston McKenzie,Guardians,3,5,0,16,16,75.7,74,43,49,69,5.11,1.56,663474
Paul Blackburn,Mets,5,4,0,14,14,75.3,59,39,21,76,4.66,1.29,621112
Walker Buehler,Dodgers,1,6,0,16,16,75.3,64,45,28,89,5.38,1.55,621111
Cade Smith,Guardians,6,1,1,74,0,75.3,103,16,17,51,1.91,0.9,671922
Hunter Gaddis,Guardians,6,3,0,78,0,74.7,66,13,14,43,1.57,0.76,683769
Emmanuel Clase,Guardians,4,2,47,74,0,74.3,66,5,10,39,0.61,0.66,661403
José Buttó,Mets,7,3,3,30,7,74.0,79,21,38,41,2.55,1.07,676130
Joe Ross,Brewers,3,6,0,25,10,74.0,66,31,29,72,3.77,1.36,605452
Jason Adam,Padres,7,2,4,74,0,73.7,81,16,23,40,1.95,0.86,592094
Merrill Kelly,Diamondbacks,5,1,0,13,13,73.7,63,33,19,67,4.03,1.17,518876
Victor Vodnik,Rockies,5,4,9,64,0,73.7,65,35,37,72,4.28,1.48,680767
Jared Shuster,Sox,2,5,0,39,4,73.3,56,35,33,74,4.3,1.46,694363
Hunter Strickland,Angels,3,2,1,72,0,73.3,57,27,24,56,3.31,1.09,519326
Justin Martinez,Diamondbacks,5,6,8,64,0,72.7,91,20,36,59,2.48,1.31,679885
Tanner Banks,Phillies,2,3,2,63,2,72.3,78,32,25,69,3.98,1.3,621383
Hogan Harris,Athletics,4,4,0,21,9,72.3,61,23,33,65,2.86,1.35,663687
Trent Thornton,Mariners,4,3,1,71,0,72.3,77,29,19,63,3.61,1.13,663423
Hayden Birdsong,Giants,5,6,0,16,16,72.0,88,38,43,57,4.75,1.39,806185
David Robertson,Rangers,3,4,2,68,0,72.0,99,24,27,53,3.0,1.11,502085
Tanner Scott,Padres,9,6,22,72,0,72.0,84,14,36,45,1.75,1.12,656945
Dennis Santana,Pirates,3,1,3,62,0,71.7,69,31,21,57,3.89,1.09,642701
Ty Blach,Rockies,3,8,0,20,12,71.3,36,55,18,103,6.94,1.7,621389
A.J. Puk,Diamondbacks,4,9,3,62,4,71.3,88,25,28,51,3.15,1.11,640462
Cole Sands,Twins,9,1,4,62,0,71.3,85,26,12,59,3.28,1.0,663485
Buck Farmer,Reds,3,2,1,61,1,71.0,70,24,29,56,3.04,1.2,571656
Josh Hader,Astros,8,8,34,71,0,71.0,105,30,25,43,3.8,0.96,623352
Griffin Jax,Twins,5,5,10,72,0,71.0,95,16,15,47,2.03,0.87,643377
Kevin Kelly,Rays,5,2,1,68,0,70.7,63,21,9,59,2.67,0.96,687330
Andrew Kittredge,Cardinals,5,5,1,74,0,70.7,67,22,20,60,2.8,1.13,552640
Declan Cronin,Marlins,3,4,0,56,0,70.3,72,34,25,75,4.35,1.42,686539
Tyler Rogers,Giants,3,4,1,77,0,70.3,51,22,6,67,2.82,1.04,643511
Will Vest,Tigers,3,4,2,69,0,70.3,63,22,18,61,2.82,1.12,676684
Jalen Beeks,Pirates,7,4,10,71,0,70.0,55,35,27,77,4.5,1.49,656222
Kevin Ginkel,Diamondbacks,8,3,5,72,0,70.0,77,25,15,69,3.21,1.2,656464
Adrian Houser,Mets,1,5,1,23,7,69.3,45,45,32,74,5.84,1.53,605288
Raisel Iglesias,Braves,6,2,34,66,0,69.3,68,15,13,38,1.95,0.74,628452
Landon Knack,Dodgers,3,5,1,15,12,69.0,69,28,18,58,3.65,1.1,689017
Valente Bellozo,Marlins,3,4,0,13,13,68.7,44,28,21,69,3.67,1.31,678368
Dylan Floro,Diamondbacks,6,4,0,66,0,68.7,48,29,17,65,3.8,1.19,571670
Joe Jiménez,Braves,1,5,3,69,0,68.7,82,20,23,45,2.62,0.99,641729
Tayler Scott,Astros,7,3,0,62,1,68.7,71,17,35,45,2.23,1.17,605463
Roansy Contreras,Angels,2,4,2,49,3,68.3,56,33,31,63,4.35,1.38,672710
Grant Holmes,Braves,2,1,0,26,7,68.3,70,27,15,66,3.56,1.19,656550
Beau Brieske,Tigers,4,5,1,46,12,67.7,69,27,30,55,3.59,1.26,689225
Michael Kopech,Dodgers,6,8,15,67,0,67.7,88,26,34,44,3.46,1.15,656629
Hayden Wesneski,Cubs,3,6,0,28,7,67.7,67,29,21,56,3.86,1.14,669713
Erik Miller,Giants,4,5,0,73,10,67.3,87,29,38,50,3.88,1.31,669062
Joey Wentz,Pirates,1,2,1,46,0,67.3,73,35,33,66,4.68,1.47,666214
Tim Hill,Yankees,4,0,0,62,0,67.0,31,25,19,77,3.36,1.43,657612
Jakob Junis,Reds,4,0,1,24,6,67.0,51,20,8,49,2.69,0.85,596001
Shawn Armstrong,Cubs,3,3,1,57,7,66.7,66,36,25,77,4.86,1.53,542888
Fernando Cruz,Reds,3,8,0,69,3,66.7,109,36,35,54,4.86,1.33,518585
Ryan Fernandez,Cardinals,1,6,2,62,0,66.7,71,26,32,58,3.51,1.35,681676
José Leclerc,Rangers,6,5,1,64,0,66.7,89,32,32,56,4.32,1.32,600917
Jesús Luzardo,Marlins,3,6,0,12,12,66.7,58,37,22,61,4.99,1.24,666200
Trevor Williams,Nationals,6,1,0,13,13,66.7,59,15,18,51,2.02,1.03,592866
Ryan Helsley,Cardinals,7,4,49,65,0,66.3,79,15,23,50,2.04,1.1,664854
Jeff Hoffman,Phillies,3,3,10,68,0,66.3,89,16,16,48,2.17,0.96,656546
Nate Pearson,Cubs,2,2,2,60,1,66.3,74,33,21,67,4.48,1.33,663878
Ryan Thompson,Diamondbacks,7,5,2,67,0,66.3,52,24,15,64,3.26,1.19,657044
Alex Vesia,Dodgers,5,4,5,67,0,66.3,87,13,33,33,1.76,0.99,681911
Jacob Barnes,Nationals,8,3,0,63,0,66.0,55,32,20,67,4.36,1.32,606930
Tim Herrin,Guardians,5,1,0,75,0,65.7,68,14,25,39,1.92,0.97,682120
Brent Suter,Reds,1,0,2,47,3,65.7,50,23,12,63,3.15,1.14,608718
Jack Kochanowicz,Angels,2,6,0,11,11,65.3,25,29,10,68,3.99,1.19,686799
Trevor Richards,Twins,2,2,1,55,2,65.3,62,33,35,44,4.55,1.21,670950
Mason Miller,Athletics,2,2,28,55,0,65.0,104,18,21,36,2.49,0.88,695243
Robert Suarez,Padres,9,3,36,65,0,65.0,59,20,16,52,2.77,1.05,663158
Hoby Milner,Brewers,5,1,1,61,1,64.7,64,34,14,63,4.73,1.19,571948
David Festa,Twins,2,6,0,14,13,64.3,77,35,23,62,4.9,1.32,701581
Enyel De Los Santos,Sox,1,2,2,64,0,64.0,66,37,25,65,5.2,1.41,660853
Tyler Kinley,Rockies,6,1,12,67,0,64.0,72,44,33,61,6.19,1.47,641755
Phil Maton,Mets,3,3,3,71,0,64.0,60,26,24,47,3.66,1.11,664208
Kyle Finnegan,Nationals,3,8,38,65,0,63.7,60,26,24,61,3.68,1.34,640448
Adrian Morejon,Padres,3,2,2,60,0,63.7,71,20,21,63,2.83,1.32,670970
Osvaldo Bido,Athletics,5,3,0,16,9,63.3,63,24,26,43,3.41,1.09,674370
Jesse Chavez,Braves,2,2,0,46,0,63.3,55,22,19,60,3.13,1.25,445926
Greg Weissert,Sox,4,2,1,62,0,63.3,58,22,20,65,3.13,1.34,669711
Clay Holmes,Yankees,3,5,30,67,0,63.0,68,22,22,60,3.14,1.3,605280
Daniel Hudson,Dodgers,6,2,10,65,0,63.0,63,21,19,46,3.0,1.03,543339
Orion Kerkering,Phillies,5,3,0,64,2,63.0,74,16,17,51,2.29,1.08,689147
Génesis Cabrera,Jays,3,3,2,69,0,62.7,50,25,29,63,3.59,1.47,650893
Yuki Matsui,Padres,4,2,0,64,0,62.7,69,26,27,46,3.73,1.16,673513
Matt Strahm,Phillies,6,2,3,66,0,62.7,79,13,11,36,1.87,0.75,621381
Bryan Hudson,Brewers,6,1,0,43,0,62.3,62,12,17,28,1.73,0.72,663542
Jared Koenig,Brewers,9,4,1,55,6,62.0,63,17,23,54,2.47,1.24,657649
Tyson Miller,Cubs,5,1,1,58,0,62.0,54,16,11,39,2.32,0.81,668338
José Alvarado,Phillies,2,5,13,66,0,61.7,63,28,28,49,4.09,1.25,621237
Aroldis Chapman,Pirates,5,5,14,68,0,61.7,98,26,39,44,3.79,1.35,547973
Lucas Erceg,Royals,2,6,14,61,0,61.7,72,23,16,49,3.36,1.05,668674
Kirby Yates,Rangers,7,2,33,61,0,61.7,85,8,28,23,1.17,0.83,489446
Peter Lambert,Rockies,2,5,0,28,3,61.3,50,39,29,73,5.72,1.66,663567
Jeremiah Estrada,Padres,6,3,1,62,0,61.0,94,20,23,42,2.95,1.07,669093
Austin Voth,Mariners,2,5,0,68,0,61.0,61,25,18,46,3.69,1.05,608723
Emerson Hancock,Mariners,4,4,0,12,12,60.7,39,32,19,62,4.75,1.34,676106
Yennier Cano,Orioles,4,3,5,70,0,60.0,65,21,24,54,3.15,1.3,666974
Garrett Cleavinger,Rays,7,5,6,68,0,60.0,71,25,31,52,3.75,1.38,664076
Jason Foley,Tigers,3,6,28,69,0,60.0,46,21,20,51,3.15,1.18,671345
John King,Cardinals,3,3,0,56,0,60.0,38,19,14,58,2.85,1.2,667463
Taylor Rogers,Giants,1,4,0,64,0,60.0,64,16,22,53,2.4,1.25,573124
Robert Garcia,Nationals,3,6,0,72,0,59.7,75,28,16,55,4.22,1.19,676395
Justin Lawrence,Rockies,4,4,2,56,0,59.7,45,43,33,73,6.49,1.78,664875
Dylan Lee,Braves,4,2,0,52,0,59.7,76,14,17,49,2.11,1.11,669276
Joe Mantiply,Diamondbacks,6,2,1,75,2,59.7,53,26,18,52,3.92,1.17,573009
Anthony Molina,Rockies,1,1,0,35,1,59.7,41,45,22,72,6.79,1.58,683627
Bryce Jarvis,Diamondbacks,1,2,0,44,0,59.3,38,21,33,52,3.19,1.43,686826
Andrés Muñoz,Mariners,3,7,22,60,0,59.3,77,14,26,31,2.12,0.96,662253
Héctor Neris,Astros,10,5,18,62,0,59.3,64,27,28,55,4.1,1.4,593576
Camilo Doval,Giants,5,3,23,62,0,59.0,78,32,39,54,4.88,1.58,666808
Luis García,Sox,5,1,4,60,0,59.0,53,32,15,61,4.88,1.29,472610
Joel Payamps,Brewers,3,7,6,68,0,59.0,59,20,18,39,3.05,0.97,606303
JoJo Romero,Cardinals,7,3,1,65,0,59.0,51,22,16,52,3.36,1.15,668941
Seranthony Domínguez,Orioles,3,4,11,63,0,58.7,68,29,21,52,4.45,1.24,622554
Drew Smyly,Cubs,4,8,0,50,0,58.7,56,25,25,57,3.84,1.4,592767
Jorge Alcala,Twins,4,3,0,54,0,58.3,58,21,20,40,3.24,1.03,660896
Chase Anderson,Rangers,0,2,3,29,1,58.3,42,35,21,55,5.4,1.3,502624
Mike Baumann,Marlins,3,1,0,57,0,58.3,58,36,28,59,5.55,1.49,657508
Chris Stratton,Royals,4,3,4,57,0,58.3,44,36,33,53,5.55,1.47,608717
Mark Leiter Jr.,Yankees,4,5,0,60,0,58.0,86,29,22,55,4.5,1.33,643410
David Bednar,Pirates,3,8,23,62,0,57.7,58,37,28,54,5.77,1.42,670280
Nick Mears,Brewers,1,5,0,54,0,57.7,75,38,24,61,5.93,1.47,683232
Nick Sandlin,Guardians,8,0,1,68,1,57.7,68,24,27,46,3.75,1.27,680704
Alex Faedo,Tigers,5,3,0,37,6,57.3,55,23,28,49,3.61,1.34,656412
Reed Garrett,Mets,8,5,4,53,0,57.3,83,24,30,50,3.77,1.4,657585
Max Meyer,Marlins,3,5,0,11,11,57.0,46,36,19,62,5.68,1.42,676974
Zack Kelly,Sox,6,3,0,49,3,56.7,61,25,27,44,3.97,1.25,677161
James McArthur,Royals,5,7,18,57,0,56.7,49,31,14,68,4.92,1.45,663704
T.J. McFarland,Athletics,2,4,0,79,0,56.7,39,24,17,53,3.81,1.24,519008
Ryan Pressly,Astros,2,3,4,59,0,56.7,58,22,18,58,3.49,1.34,519151
Jacob Webb,Orioles,2,5,2,60,0,56.7,58,19,27,40,3.02,1.18,657097
Andrew Chafin,Rangers,4,3,1,62,0,56.3,70,22,31,52,3.51,1.47,605177
