Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
BOS,Red Sox,149,573,638,149,83,39,9,18,86,78,52,1,151,8,4,1,,25,5,0.259533,0.328783,0.454028,0.782811,0.337147,0.0822089,0.235868,0.348538,0.194496,7.37176,0.319588,0,,87.902,12.4851,10.2654,2.00513,2.00513,3.75344,11.480804204940796,3.2298026084899902,112.596,808.5,5.426174496,808.5,5.426174496,64.04000091552734,0.01734104,OF,/players/jarren-duran/24617/stats/batting,3,AL,Jarren Duran,680776,24617,24617
SFG,Giants,149,557,628,130,78,27,1,24,79,80,64,2,157,4,4,0,,11,3,0.234308,0.315557,0.416917,0.732474,0.318427,0.101729,0.249139,0.408324,0.182609,4.3074,0.279814,0,,76.979,2.74008,4.07109,-0.0100728,-0.0100728,3.72763,4.54053296148777,10.996837139129639,106.111,697.1,4.678523489,697.1,4.678523489,133.92999267578125,0.00617284,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
SDP,Padres,144,550,610,144,92,28,0,24,77,85,54,4,121,2,4,0,,9,2,0.261447,0.327835,0.444124,0.771959,0.33227,0.0888188,0.199301,0.445652,0.182677,3.55811,0.293164,0,,81.54,9.51025,1.62613,-0.000274494,-0.000274494,3.72204,12.238607570820022,3.86600923538208,116.939,742.7,5.157638888,742.7,5.157638888,37.52000045776367,0.08641975,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
LAD,Dodgers,116,410,475,105,65,19,2,19,64,64,54,3,94,9,3,0,,2,1,0.255749,0.35288,0.450462,0.803342,0.348269,0.114107,0.197094,0.578947,0.194713,3.51522,0.286601,0,,69.7461,13.5884,-1.35581,-0.832211,-0.832211,3.70854,13.064404904842377,7.375765800476074,124.67,613.1,5.285344827,613.1,5.285344827,95.69000244140625,0.00952381,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
MIN,Twins,116,417,466,105,53,22,5,25,75,68,38,3,133,9,3,0,,14,0,0.250528,0.323388,0.506332,0.82972,0.351627,0.0804693,0.284476,0.282869,0.255804,7.60725,0.302659,0,,69.6667,14.5959,2.0032,2.07753,2.07753,3.69627,16.364636659622192,3.7157142162323,126.008,665.9,5.740517241,665.9,5.740517241,73.4800033569336,0.0620155,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
BAL,Orioles,149,568,640,155,86,34,1,34,79,103,56,6,140,13,4,0,,2,1,0.272882,0.348754,0.51479,0.863545,0.366809,0.0868793,0.219123,0.396487,0.241908,2.46105,0.304615,0,,103.624,27.9506,-2.84001,-0.991463,-0.991463,3.64656,28.197202622890472,-14.605932474136353,138.669,931.9,6.254362416,931.9,6.254362416,24.440000534057617,0.01818182,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
CHC,Cubs,145,534,592,128,83,24,2,18,77,71,52,1,151,3,4,0,,14,3,0.239209,0.307668,0.395058,0.702725,0.306751,0.0869495,0.25416,0.342105,0.155848,5.18063,0.296585,0,,66.9573,-3.03177,9.70218,0.619231,0.619231,3.56088,-1.1276531219482422,16.23145580291748,97.5117,616.2,4.249655172,616.2,4.249655172,152.30999755859375,0.0,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
BOS,Red Sox,134,495,582,131,84,26,3,17,86,72,79,2,145,5,3,0,,7,4,0.263775,0.367882,0.433878,0.801761,0.351221,0.135082,0.248986,0.542527,0.170103,4.54752,0.336754,0,,86.8044,18.0348,7.18045,-1.32614,-1.32614,3.5572,13.964582681655884,0.7649374008178711,122.291,745.0,5.559701492,745.0,5.559701492,50.75,0.25,DH/OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
KCR,Royals,149,556,618,149,104,30,4,11,80,67,54,0,93,1,4,3,,25,7,0.267215,0.331588,0.392591,0.72418,0.317912,0.0880269,0.149988,0.586895,0.125376,6.07826,0.302242,0,,75.4695,2.43733,8.33088,1.15434,1.15434,3.4192,1.5366089940071106,10.601942300796509,100.525,684.5,4.593959731,684.5,4.593959731,63.150001525878906,0.03333333,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
HOU,Astros,111,396,464,115,66,24,1,25,64,71,59,11,82,6,3,0,,3,1,0.290018,0.388583,0.541337,0.929919,0.391081,0.127213,0.17581,0.723586,0.251319,2.88744,0.308551,0,,84.2579,29.4076,-0.0199773,-0.664419,-0.664419,3.39556,29.16509062051773,-11.959592584520578,154.52,756.2,6.812612612,756.2,6.812612612,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
DET,Tigers,145,547,609,144,86,28,3,27,81,94,55,2,166,4,4,0,,3,2,0.263361,0.332621,0.474082,0.806704,0.346064,0.0897688,0.272197,0.329793,0.210721,3.73416,0.326951,0,,88.285,16.3223,3.52927,-1.1531,-1.1531,3.36757,15.129693508148193,-3.1841299533843994,122.684,788.6,5.438620689,788.6,5.438620689,78.4800033569336,0.13772455,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
