Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
SDP,Padres,11,9,29,29,0,0,,163,683,144,74,68,21,170,57,,7,3.73321,1.23349,9.38788,3.16128,2.96965,1.1691,0.249085,0.083877,0.16520821303129196,,0.232642,0.287234,0.744195,3.92408,721.5000000000001,4.42638036809816,690,4.233128834355829,2.77329,2.57457,16,129.55999755859375,29,NL,Michael King,650633,19853,19853
LAA,Angels,10,10,30,30,0,0,,174,748,157,79,73,15,162,75,,9,3.76925,1.32721,8.3546,3.86742,2.16025,0.790915,0.216368,0.100158,0.11620926111936569,,0.235719,0.290048,0.724135,3.86949,766.9000000000001,4.407471264367817,747,4.293103448275862,2.73356,2.95315,17,321.80999755859375,1,AL,José Soriano,667755,22100,22100
DET,Tigers,10,10,29,29,0,0,,162,680,146,79,73,22,178,56,,7,4.05256,1.24728,9.91904,3.09462,3.20525,1.21965,0.262402,0.0818661,0.18053558468818665,,0.236909,0.298129,0.716597,3.85263,715.5999999999998,4.417283950617283,691,4.265432098765432,2.70044,2.1031,15,209.0,6,AL,Jack Flaherty,656427,17479,17479
LAD,Dodgers,8,6,24,24,0,0,,138,567,111,61,57,17,161,52,,4,3.68883,1.17577,10.5287,3.36552,3.12839,1.10296,0.28449,0.0909381,0.1935519576072693,,0.216019,0.280759,0.727206,3.58942,677.5,4.909420289855072,623,4.5144927536231885,2.68726,2.58188,13,113.73999786376953,22,NL,Tyler Glasnow,607192,14374,14374
MIA,Marlins,11,12,30,30,0,0,,188,792,183,94,87,22,158,54,,8,4.15712,1.26235,7.56384,2.60839,2.89982,1.04371,0.199384,0.0687573,0.13062629848718643,,0.250329,0.29248,0.69117,3.95219,774.8,4.12127659574468,784,4.170212765957447,2.66881,2.54795,16,144.57000732421875,20,NL,Sandy Alcantara,645261,18684,18684
MIA,Marlins,9,9,27,27,0,0,,146,599,121,69,63,20,162,48,,5,3.90292,1.16393,10.0196,2.9907,3.35024,1.2597,0.271049,0.0809042,0.19014441221952438,,0.222264,0.277958,0.715476,3.82523,684.8000000000001,4.69041095890411,635,4.3493150684931505,2.63094,2.38895,14,78.6500015258789,20,NL,Eury Pérez,691587,27768,27768
LAD,Dodgers,9,6,22,22,0,0,,126,521,98,52,48,14,154,54,,3,3.44715,1.20987,11.0587,3.8487,2.87337,0.998555,0.296526,0.103198,0.19332792609930038,,0.211859,0.285344,0.752505,3.47472,642.4000000000001,5.098412698412699,585,4.642857142857143,2.61744,2.76186,13,178.41000366210938,22,NL,Blake Snell,605483,13543,13543
CLE,Guardians,11,10,30,30,0,0,,183,766,170,88,81,25,172,55,,8,3.99012,1.22282,8.44077,2.67587,3.1544,1.20535,0.224497,0.0711695,0.15332767367362976,,0.241298,0.286416,0.715643,4.02683,759.7,4.151366120218579,745,4.0710382513661205,2.61695,2.37229,16,188.6300048828125,5,AL,Tanner Bibee,676440,30134,30134
TEX,Rangers,10,10,29,29,0,0,,156,658,138,74,68,20,176,60,,6,3.91624,1.26578,10.1311,3.43315,2.95097,1.14585,0.266942,0.0904591,0.17648309469223022,,0.233064,0.297877,0.728991,3.80679,703.6000000000001,4.510256410256411,674,4.32051282051282,2.60108,2.112,15,164.82000732421875,13,AL,MacKenzie Gore,669022,22201,22201
LAD,Dodgers,8,5,22,22,0,0,,115,467,93,47,43,14,136,35,,5,3.36981,1.11014,10.6853,2.74982,3.88581,1.11405,0.292386,0.0752445,0.21714135259389877,,0.216606,0.283255,0.75056,3.40769,589.0,5.121739130434783,545,4.739130434782608,2.57297,2.5674,13,1.2699999809265137,22,NL,Shohei Ohtani,660271,19755,19755
