Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
DET,Tigers,7.9842,9.3233,25.44,25.44,0.0,0.0,,140.639,603.6,138.364,72.7257,68.1382,20.627,119.358,44.2662,,5.7433,4.36042,1.29858,7.63814,2.83276,2.69636,1.32,0.197743,0.073337,0.12440589815378189,,0.24994,0.284661,0.714816,4.4112,514.3000000000002,3.647517730496455,520,3.6879432624113475,1.64106,1.3257,10.6659,658.8499755859375,6.0,AL,Justin Verlander,434378.0,8700,8700
CIN,Reds,5.0456,4.7757,14.31,14.31,0.0,0.0,,81.0269,338.6,67.8074,37.1,34.7838,12.2171,98.6222,27.7418,,4.435,3.86358,1.17923,10.9544,3.0814,3.555,1.357,0.291265,0.0819309,0.20933373272418976,,0.221287,0.284228,0.745095,3.85228,376.99999999999994,4.65432098765432,351,4.333333333333333,1.62085,1.58921,7.0934,444.32000732421875,18.0,NL,Hunter Greene,668881.0,22182,22182
TEX,Rangers,7.8508,8.4254,22.26,36.0007,0.0,0.6439,,133.33,567.789,132.597,67.2399,62.1652,17.0663,119.193,43.269,,5.3088,4.19624,1.31903,8.0457,2.92072,2.75469,1.152,0.209925,0.0762061,0.13371851295232773,,0.255382,0.301685,0.714772,4.10423,527.3,3.964661654135338,542,4.075187969924812,1.60107,1.25919,9.0017,720.72998046875,13.0,AL,Kumar Rocker,677958.0,31843,31843
TEX,Rangers,8.4561,9.7842,27.03,27.03,0.0,0.0,,146.911,636.806,137.826,78.1154,73.0731,21.449,144.278,63.7659,,6.3782,4.47657,1.3722,8.83869,3.9064,2.26262,1.314,0.226565,0.100134,0.1264309510588646,,0.243224,0.290264,0.719714,4.50136,548.7,3.73265306122449,540,3.673469387755102,1.59978,1.15453,10.5777,230.7100067138672,13.0,AL,Jack Leiter,683004.0,30146,30146
KCR,Royals,8.5257,9.0513,25.44,25.44,0.0,0.0,,145.619,624.704,147.085,74.598,69.1036,19.7718,121.992,49.8839,,5.4724,4.27097,1.35263,7.53973,3.08309,2.44551,1.222,0.195279,0.0798521,0.11542698740959167,,0.258339,0.29775,0.722854,4.36519,531.2,3.638356164383562,549,3.76027397260274,1.57436,1.76077,11.7258,298.0,7.0,AL,Noah Cameron,702070.0,30184,30184
BAL,Orioles,8.968,9.2333,25.44,33.2919,0.0,0.6696,,151.059,636.671,161.204,77.6267,72.11,23.6155,120.181,29.4099,,5.0157,4.29627,1.26185,7.16033,1.75222,4.08642,1.407,0.188765,0.0461932,0.14257174357771873,,0.267671,0.300117,0.717141,4.25997,545.6,3.613245033112583,585,3.8741721854304636,1.57032,1.27523,11.1594,395.20001220703125,2.0,AL,Zach Eflin,621107.0,13774,13774
ARI,Diamondbacks,7.8107,8.0728,22.26,30.1119,0.0,0.6279,,130.755,561.316,129.977,66.2394,61.5413,17.0417,118.205,46.5699,,3.607,4.23596,1.35021,8.13618,3.20546,2.53823,1.173,0.210585,0.0829656,0.1276199221611023,,0.254289,0.300446,0.722435,4.17267,509.30000000000007,3.8877862595419854,521,3.9770992366412212,1.5629,1.60151,9.5044,738.219970703125,15.0,NL,Eduardo Rodriguez,593958.0,13164,13164
ARI,Diamondbacks,9.4269,9.9601,27.03,36.8448,0.0,0.6279,,160.209,683.334,164.394,82.3269,76.6974,21.6104,135.412,47.4535,,5.3758,4.30861,1.32232,7.60699,2.66578,2.85357,1.214,0.198163,0.0694441,0.12871934473514557,,0.260733,0.30156,0.713246,4.18751,605.0000000000001,3.781250000000001,632,3.95,1.52953,1.81455,11.5098,251.42999267578125,15.0,NL,Ryne Nelson,669194.0,26253,26253
SDP,Padres,3.9688,2.3792,0.0,64.7778,31.066,1.9357,,64.7778,257.976,39.3382,18.5559,16.9713,5.31898,104.188,25.6544,,2.3484,2.35793,1.00332,14.4755,3.56433,4.0612,0.739,0.403866,0.0994449,0.30442094057798386,,0.171056,0.282396,0.806949,2.28268,605.1,9.30923076923077,547,8.415384615384616,1.51796,1.5157,0.0,27.860000610351562,29.0,NL,Mason Miller,695243.0,31757,31757
NYM,Mets,7.9525,7.069,17.49,50.8604,0.0,0.6968,,128.1,536.864,112.965,57.9389,53.8117,17.3219,135.668,42.9131,,6.4944,3.78069,1.21685,9.53175,3.01498,3.16147,1.217,0.252705,0.0799329,0.17277225106954575,,0.231743,0.285956,0.744063,3.93194,573.3,4.47890625,548,4.28125,1.50051,1.66121,7.7668,423.3599853515625,25.0,NL,Sean Manaea,640455.0,15873,15873
