Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Railin Perez","HOU",0.0443,0.054,0,4.8339,1,0,0,0,,1,4.554,0.9773,0.5792,0.5371,0.121556,0.6283,,0.0691,0.8359,7.5231,5.6547,1.33042,1.094,0.183553,0.137967,0.04558628797531128,0.25341,1.6056,0.295171,0.715051,,,5.09933,-0.00836835,-0.0470816,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Railin Perez","sa3009622",683988
"Aidan Anderson","TEX",0.0435,0.0549,0,4.97529,1,0,0,0,,1,4.468,1.0413,0.5906,0.55281,0.150111,0.4586,,0.059,0.7103,6.3927,4.1274,1.54884,1.351,0.158975,0.102641,0.056333936750888824,0.263594,1.4999,0.288412,0.705023,,,5.18235,-0.00838175,-0.0477092,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Aidan Anderson","sa3011250",689379
"Edwin Escobar",,0.0453,0.053,0,4.78674,1,0,0,0,,1,4.507,1.0208,0.5717,0.53186,0.129,0.5456,,0.0494,0.7831,7.0479,4.9104,1.4353,1.161,0.173752,0.121056,0.05269581824541092,0.260941,1.5664,0.297277,0.71778,,,4.99451,-0.00838962,-0.050218,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Edwin Escobar","10337",546276
"Seunghwan Oh",,0.0431,0.0552,0,5.16528,1,0,0,0,,1,4.45,1.127,0.6112,0.57392,0.159333,0.3666,,0.0421,0.654,5.886,3.2994,1.78396,1.434,0.146966,0.082382,0.06458426266908646,0.278871,1.4936,0.299776,0.694512,,,5.08814,-0.00841023,-0.0475604,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Seunghwan Oh","18719",493200
"Alaska Abney","CLE",0.0432,0.0551,0,4.86747,1,0,0,0,,1,4.49,1.0447,0.5811,0.54083,0.135889,0.4722,,0.063,0.7585,6.8265,4.2498,1.60631,1.223,0.168931,0.105167,0.06376391649246216,0.26416,1.5169,0.296957,0.705383,,,4.95386,-0.00841081,-0.0487992,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alaska Abney","sa3017308",685095
"Hirokazu Sawamura",,0.0438,0.0546,0,4.98915,1,0,0,0,,1,4.535,1.0444,0.5951,0.55435,0.131444,0.5566,,0.0425,0.7581,6.8229,5.0094,1.36202,1.183,0.167166,0.122734,0.044432200491428375,0.265352,1.601,0.299688,0.709891,,,5.08859,-0.00841521,-0.0475604,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Hirokazu Sawamura","27515",617228
"Jake Reed",,0.0439,0.0545,0,4.97889,1,0,0,0,,1,4.488,1.0591,0.5924,0.55321,0.141444,0.4638,,0.0619,0.713,6.417,4.1742,1.5373,1.273,0.158868,0.103342,0.05552583932876587,0.267294,1.5229,0.29527,0.702329,,,5.08859,-0.00841522,-0.0475604,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Reed","16209",596082
"Darren Bowen","MIN",0.0424,0.0559,0,5.03478,1,0,0,0,,1,4.464,1.0671,0.5959,0.55942,0.152444,0.4214,,0.0524,0.7038,6.3342,3.7926,1.67015,1.372,0.157661,0.0943996,0.06326165050268173,0.26743,1.4885,0.291853,0.700036,,,5.09429,-0.00842072,-0.0461953,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Darren Bowen","sa3020945",804539
"Dereck Rodríguez",,0.0453,0.053,0,4.96422,1,0,0,0,,1,4.446,1.0672,0.5886,0.55158,0.149556,0.4286,,0.0417,0.7512,6.7608,3.8574,1.75268,1.346,0.168961,0.0964013,0.07255961000919342,0.268431,1.4958,0.298426,0.705212,,,4.95143,-0.00842087,-0.0483276,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dereck Rodriguez","14509",605446
"Gabriel Jackson",,0.0446,0.0594,0.0145,4.95981,0.7996,0.0426,0,0,,1,4.513,1.0978,0.5952,0.55109,0.124889,0.4831,,0.0515,0.6182,5.5638,4.3479,1.27965,1.124,0.136982,0.107046,0.029935747385025024,0.27594,1.5809,0.300716,0.701039,,,5.08966,-0.00842731,-0.0475604,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Gabriel Jackson","sa3009463",682791
"Russell Smith","MIL",0.0455,0.0564,0.0092,4.80501,0.8747,0.0267,0,0,,1,4.469,0.9865,0.5696,0.53389,0.152333,0.5139,,0.0494,0.8399,7.5591,4.6251,1.63436,1.371,0.187939,0.114992,0.07294698804616928,0.25258,1.5004,0.286314,0.723157,,,5.08914,-0.00842847,-0.0492859,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Russell Smith","sa3018191",669080
"Naswell Paulino",,0.0447,0.0537,0,4.80114,1,0,0,0,,1,4.509,1.026,0.5731,0.53346,0.132556,0.5358,,0.0455,0.7379,6.6411,4.8222,1.37719,1.193,0.16365,0.118829,0.044821470975875854,0.261222,1.5618,0.292239,0.718416,,,5.09003,-0.00843142,-0.0475604,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Naswell Paulino","sa3002998",672614
"Jacob Webb","BOS",0.0433,0.0616,0.0148,5.17572,0.7708,0.0488,0,0,,1,4.505,1.0568,0.6137,0.57508,0.146556,0.4892,,0.057,0.743,6.687,4.4028,1.51881,1.319,0.164928,0.10859,0.0563373863697052,0.26695,1.546,0.29657,0.69532,,,5.15653,-0.0084343,-0.0426577,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jacob Webb","sa3017547",701288
"Valentin Linarez","WSN",0.043,0.0554,0,4.9518,1,0,0,0,,1,4.525,1.0108,0.5889,0.5502,0.135667,0.5519,,0.0581,0.8003,7.2027,4.9671,1.45008,1.221,0.176862,0.121967,0.054895028471946716,0.258186,1.5627,0.293764,0.70937,,,5.09178,-0.00845143,-0.0486758,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Valentin Linarez","sa3006557",679066
"Bryan Chi",,0.0446,0.0595,0.0147,4.98762,0.7939,0.0439,0,0,,1,4.485,1.0554,0.5938,0.55418,0.142222,0.4751,,0.0512,0.7167,6.4503,4.2759,1.50852,1.28,0.159799,0.105931,0.053868457674980164,0.266603,1.5305,0.294595,0.703551,,,5.0931,-0.00845573,-0.0475509,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Bryan Chi","sa3020958",701261
