Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
KCR,Royals,10.7863,8.03903,26.451,26.451,0,0.0,,155.757,636.072,118.255,62.97,59.01,19.7707,197.533,51.0656,0.508187,7.1132,3.40973,1.08708,11.4139,2.95069,3.86821,1.1424,0.31055,0.0802827,0.23026775568723679,,0.204631,0.27312,0.750843,3.36941,823.6000000000001,5.27948717948718,742,4.756410256410256,3.96028,3.5278,11.6229,48.15999984741211,7,AL,Cole Ragans,666142,21846,21846
SEA,Mariners,11.6759,8.54573,28.422,28.422,0,0.0,,167.796,676.487,136.267,71.44,66.75,25.033,204.684,39.7173,0.522571,6.24601,3.58024,1.0488,10.9786,2.1303,5.15352,1.34268,0.302569,0.0587111,0.243857953697443,,0.216117,0.277525,0.741775,3.45666,854.1,5.083928571428571,787,4.684523809523809,3.88233,3.44847,12.6753,37.150001525878906,11,AL,Logan Gilbert,669302,22250,22250
LAD,Dodgers,12.9079,6.37068,26.498,26.498,0,0.0,,161.159,660.593,133.592,64.48,60.35,15.975,178.819,51.7637,0.396061,4.13463,3.37027,1.15014,9.98621,2.89077,3.45452,0.892129,0.270694,0.0783594,0.19233474135398865,,0.220924,0.286939,0.74161,3.24517,836.2000000000002,5.193788819875778,787,4.888198757763975,3.86704,3.7585,12.4927,26.639999389648438,22,NL,Yoshinobu Yamamoto,808967,33825,33825
DET,Tigers,12.8649,8.64395,28.534,28.534,0,0.0,,185.144,765.115,159.655,74.61,69.12,14.306,169.408,59.4481,0.505909,9.96372,3.35998,1.18342,8.23507,2.88982,2.84968,0.695429,0.221415,0.0776982,0.14371709525585175,,0.229488,0.283891,0.725824,3.43435,911.8,4.9286486486486485,874,4.724324324324324,3.81242,4.15688,15.4239,81.13999938964844,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,11.3033,8.6596,28.071,28.071,0,0.0,,165.969,679.889,150.644,73.18,68.6,19.969,161.527,35.2614,0.445212,7.11146,3.71997,1.12012,8.75914,1.91212,4.58085,1.08286,0.237579,0.0518635,0.18571548536419868,,0.236298,0.286555,0.713683,3.51871,787.8000000000001,4.7457831325301205,768,4.626506024096385,3.79713,3.09605,12.6521,64.58000183105469,11,AL,George Kirby,669923,25436,25436
TEX,Rangers,10.8543,7.99915,26.091,26.091,0,0.0,,157.865,633.227,124.763,64.34,60.69,20.0737,175.687,40.7123,0.449682,2.58916,3.45998,1.04821,10.016,2.32104,4.31532,1.14442,0.277447,0.0642933,0.21315331012010574,,0.211489,0.265597,0.736213,3.38528,818.2,5.178481012658228,750,4.746835443037975,3.79247,3.55244,12.2159,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
HOU,Astros,11.82,9.41228,29.335,29.335,0,0.0,,178.999,746.194,154.419,79.17,74.38,19.7719,189.385,61.7072,0.550471,6.88226,3.7398,1.20741,9.52218,3.10261,3.06909,0.994125,0.253801,0.0826959,0.171104796230793,,0.227889,0.287431,0.726768,3.6046,849.2000000000002,4.744134078212292,806,4.5027932960893855,3.71472,3.30918,14.1828,36.189998626708984,21,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,11.0998,9.00301,28.131,28.131,0,0.0,,167.845,693.267,150.439,74.67,69.38,20.1101,171.015,46.0235,0.420986,4.88134,3.72022,1.1705,9.16996,2.46782,3.71581,1.07832,0.246679,0.0663865,0.1802929937839508,,0.234197,0.288827,0.723628,3.5648,796.2,4.739285714285715,769,4.5773809523809526,3.56177,3.01264,12.9385,138.08999633789062,3,AL,Sonny Gray,543243,12768,12768
MIN,Twins,9.91718,10.0771,27.988,27.988,0,0.0,,168.145,696.26,150.403,82.56,77.16,26.9442,186.178,40.8008,0.441062,7.42856,4.13001,1.13714,9.96524,2.18387,4.5631,1.4422,0.267398,0.0586,0.20879755169153214,,0.232093,0.283873,0.707861,3.86431,749.0999999999999,4.4589285714285705,717,4.267857142857143,3.52278,2.16974,13.3365,78.52999877929688,8,AL,Joe Ryan,657746,21390,21390
PHI,Phillies,9.77302,5.62286,20.807,20.807,0,0.0,,129.846,524.412,99.48,49.2,45.88,14.849,155.542,37.8609,0.321117,5.27213,3.18008,1.05772,10.7811,2.62425,4.10826,1.02923,0.296603,0.0721969,0.22440646588802338,,0.206699,0.272224,0.756235,3.22256,703.1,5.408461538461538,638,4.907692307692308,3.50481,3.34112,10.28,110.48999786376953,26,NL,Zack Wheeler,554430,10310,10310
