Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
TOR,Blue Jays,106.86,394.315,447.127,107.191,74.0378,18.4785,0.6045,14.0704,53.3164,55.4107,45.0256,1.3414,55.0858,3.577,3.4052,0.8036,,0.9507,0.3169,0.271842,0.349061,0.428819,0.77788,0.339072,0.1007,0.1232,0.817372,0.156978,2.22611,0.283418,-1.547,,62.2761,9.44466,-1.475,-0.740413,-2.28741,4.04282,7.578531265258789,6.537000060081482,118.721,543.6,5.080373831,543.6,5.080373831,160.25,0.05511811,C,/players/alejandro-kirk/22581/stats/batting,14.0,AL,Alejandro Kirk,672386.0,22581,22581
CHC,Cubs,134.31,521.592,565.423,131.872,78.1717,27.1636,3.6341,22.902,70.9385,78.9044,31.6637,1.1308,132.119,7.3505,3.8647,0.9525,,31.0448,9.2208,0.252825,0.302736,0.450561,0.753298,0.322765,0.056,0.233664,0.23966,0.197736,6.53623,0.294166,1.023,,71.2667,4.45762,9.561,1.66672,2.68972,3.98803,8.373850107192993,11.799999952316284,108.482,685.2,5.113432835,685.2,5.113432835,32.939998626708984,0.00625,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718.0,27769,27769
ARI,Diamondbacks,127.04,476.561,553.504,129.717,88.9956,25.1612,3.0839,12.4761,70.4094,61.6459,65.7009,0.5535,73.1998,6.0885,3.99,1.163,,18.8828,5.8329,0.272193,0.364822,0.416471,0.781293,0.34394,0.1187,0.132248,0.897556,0.144278,5.25435,0.296905,0.365,,79.2801,13.8794,-0.523,0.33009,0.69509,3.90745,13.953671276569366,5.829000234603882,120.211,688.7,5.422834645,688.7,5.422834645,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15.0,NL,Geraldo Perdomo,672695.0,22799,22799
CHC,Cubs,142.12,558.078,638.506,145.073,92.2462,27.805,1.2493,23.7722,85.3055,78.0655,66.4047,1.9155,89.3482,7.6621,4.4367,1.9252,,2.6939,0.9221,0.259951,0.344244,0.44204,0.786285,0.341517,0.104,0.139933,0.743213,0.18209,3.12292,0.26992,-0.76,,90.1992,14.7547,-0.583,-0.924135,-1.68413,3.8344,14.455645322799683,1.7859999537467957,121.327,791.4,5.573239436,791.4,5.573239436,119.16999816894531,0.00854701,3B,/players/alex-bregman/17678/stats/batting,17.0,NL,Alex Bregman,608324.0,17678,17678
LAD,Dodgers,126.84,484.979,572.041,128.941,76.2977,24.1892,1.9763,26.4774,90.9533,77.9894,77.1683,5.7204,88.2176,4.0043,3.9602,1.9295,,19.5441,4.3777,0.265869,0.368548,0.48768,0.856228,0.366736,0.1349,0.154216,0.874749,0.221812,5.43974,0.273787,0.04,,92.5229,24.9319,-1.804,1.11427,1.15427,3.81997,26.457089066505432,-8.146000027656555,137.321,832.6,6.555905511,832.6,6.555905511,13.130000114440918,0.13868613,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656.0,18345,18345
LAA,Angels,135.1,546.352,611.126,136.351,79.3099,29.5104,1.1456,26.3851,84.501,70.126,43.8177,3.6668,143.636,14.0559,3.8383,3.0615,,27.5224,8.0363,0.249566,0.319415,0.452653,0.772067,0.331597,0.0717,0.235035,0.305061,0.203087,5.73772,0.289255,0.513,,81.4093,9.20009,-1.735,1.33204,1.84504,3.724,10.337523579597473,5.020000100135803,111.79,757.5,5.611111111,757.5,5.611111111,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1.0,AL,Zach Neto,687263.0,31347,31347
STL,Cardinals,145.48,573.722,629.765,149.375,100.263,31.6915,1.7412,15.6794,71.5166,71.2194,44.7763,0.0,107.975,5.6679,4.194,1.4041,,11.8314,3.8186,0.260361,0.318,0.403657,0.721657,0.314959,0.0711,0.171452,0.414693,0.143296,4.26051,0.294313,1.234,,75.3849,0.973312,4.311,-0.19242,1.04158,3.7013,3.6464805603027344,11.585000038146973,103.49,679.6,4.686896551,679.6,4.686896551,364.7799987792969,0.0,SS,/players/masyn-winn/27479/stats/batting,28.0,NL,Masyn Winn,691026.0,27479,27479
SDP,Padres,129.91,507.04,552.356,134.411,82.6254,27.0093,4.2899,20.4866,66.1979,75.8627,37.0079,1.1047,106.58,3.8665,3.7097,0.7322,,6.0188,2.0819,0.26509,0.317763,0.456493,0.774256,0.332193,0.0670001,0.192955,0.347232,0.191403,4.71566,0.296924,1.226,,73.8475,8.58242,3.436,-0.456827,0.769173,3.64268,11.823971390724182,5.4090001583099365,116.886,661.3,5.086923076,661.3,5.086923076,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538.0,29490,29490
KCR,Royals,138.25,559.36,622.162,153.756,105.332,32.1053,3.5253,12.7939,81.4058,61.2657,53.6926,0.0,89.6095,2.4886,3.9722,2.6483,,26.3248,6.7882,0.274879,0.338875,0.413497,0.752372,0.328832,0.0863,0.144029,0.599184,0.138618,5.85329,0.305822,0.709,,81.4828,7.96951,3.239,1.41882,2.12782,3.59009,8.028733491897583,5.640000104904175,108.047,739.0,5.355072463,739.0,5.355072463,63.150001525878906,0.03333333,3B,/players/maikel-garcia/22715/stats/batting,7.0,AL,Maikel Garcia,672580.0,22715,22715
PHI,Phillies,124.68,525.606,574.615,146.149,99.7851,26.1216,3.7129,16.5297,79.6282,60.2311,37.4074,0.5746,103.86,5.1715,3.5822,2.8479,,24.1757,4.4685,0.278059,0.330079,0.436231,0.76631,0.331794,0.0650999,0.180747,0.360172,0.158173,6.44406,0.317074,1.58,,76.6376,8.74236,-1.637,2.06916,3.64916,3.58384,11.320570468902588,4.597000241279602,111.264,710.0,5.68,710.0,5.68,26.780000686645508,0.00699301,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208.0,16252,16252
ATH,Athletics,132.48,514.942,601.11,130.327,67.5876,24.3619,1.7117,36.6659,93.6288,84.0168,75.4393,3.6067,174.771,4.2078,3.7862,2.7341,,5.5304,1.4968,0.253091,0.350907,0.52066,0.871568,0.370337,0.1255,0.290748,0.431646,0.26757,4.06183,0.304797,0.132,,98.9817,27.956,-0.864,-0.455071,-0.323071,3.51597,25.774099051952362,-12.10500019788742,136.836,887.4,6.722727272,887.4,6.722727272,19.8700008392334,0.04166667,1B,/players/nick-kurtz/35110/stats/batting,10.0,AL,Nick Kurtz,701762.0,35110,35110
BAL,Orioles,124.08,471.059,540.551,120.298,77.7027,24.1182,1.6904,16.7864,66.86,65.9576,62.2714,1.6217,83.6129,2.7028,3.6352,0.8829,,1.0882,0.3883,0.255378,0.343307,0.420661,0.763968,0.333669,0.1152,0.154681,0.744758,0.165283,2.81501,0.276551,-0.438,,72.9171,9.04686,-0.552,-0.872576,-1.31058,3.51578,8.781206488609314,4.947000086307526,115.84,638.7,5.150806451,638.7,5.150806451,148.92999267578125,0.19148936,C/DH,/players/adley-rutschman/26288/stats/batting,2.0,AL,Adley Rutschman,668939.0,26288,26288
HOU,Astros,132.13,545.795,597.104,148.279,100.54,28.0176,1.9157,17.8058,77.8875,63.9217,34.6918,1.1942,104.629,10.1508,3.7732,2.6939,,16.764,4.8113,0.271675,0.324896,0.4279,0.752796,0.326357,0.0581001,0.175227,0.33157,0.156224,5.28487,0.305463,0.812,,77.0013,6.44877,-1.598,0.430606,1.24261,3.45817,8.234023213386536,5.007999897003174,109.934,697.9,5.287121212,697.9,5.287121212,122.9800033569336,0.015625,SS,/players/jeremy-pena/21636/stats/batting,21.0,AL,Jeremy Peña,665161.0,21636,21636
STL,Cardinals,137.6,555.87,637.606,143.613,97.5029,27.9782,1.7413,16.3908,84.6614,58.4462,65.5459,1.2752,108.395,8.9265,3.8408,3.4229,,15.9108,3.8296,0.258357,0.343884,0.403415,0.747299,0.328811,0.1028,0.170003,0.604697,0.145058,5.09469,0.292515,0.0,,83.4946,8.15651,-0.213,0.486966,0.486966,3.45767,10.295376658439636,2.293999969959259,112.979,737.6,5.344927536,737.6,5.344927536,999.0,0.0,2B,/players/jj-wetherholt/34985/stats/batting,28.0,NL,JJ Wetherholt,802139.0,34985,34985
PHI,Phillies,135.94,516.205,601.212,139.024,80.2888,31.9127,0.6327,26.1899,81.8044,85.3691,75.2718,7.2145,128.896,4.8097,4.4374,0.4885,,9.0542,2.8907,0.26932,0.364736,0.485799,0.850535,0.363425,0.1252,0.214394,0.583971,0.21648,3.64311,0.308665,0.198,,95.6248,24.5869,0.731,-0.384036,-0.186036,3.33372,23.280338913202286,-10.692000329494476,132.932,854.0,6.279411764,854.0,6.279411764,47.900001525878906,0.01481481,OF,/players/bryce-harper/11579/stats/batting,26.0,NL,Bryce Harper,547180.0,11579,11579
SFG,Giants,135.94,520.745,600.735,123.885,72.4056,27.2035,2.0356,22.2407,75.9178,71.9151,67.7029,1.2015,147.11,6.6081,4.1511,1.5287,,8.9362,3.091,0.237901,0.330765,0.426086,0.756851,0.329837,0.1127,0.244884,0.460219,0.188186,4.28858,0.285885,-0.072,,79.1667,8.18524,0.85,-0.439221,-0.511221,3.32522,9.405103266239166,3.1160000562667847,113.928,703.6,5.173529411,703.6,5.173529411,163.6199951171875,0.0,3B,/players/matt-chapman/16505/stats/batting,30.0,NL,Matt Chapman,656305.0,16505,16505
CHC,Cubs,140.17,535.756,588.67,151.434,113.334,27.5657,2.495,8.0391,65.7473,59.3403,38.8522,0.5887,57.0044,8.2414,4.3547,1.4656,,24.6861,6.3266,0.282655,0.338089,0.388436,0.726525,0.319221,0.066,0.096836,0.681565,0.105781,5.36319,0.301841,0.965,,72.503,2.9471,3.708,1.29116,2.25616,3.29461,6.480194091796875,6.142999887466431,106.054,649.1,4.636428571,649.1,4.636428571,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17.0,NL,Nico Hoerner,663538.0,21479,21479
DET,Tigers,133.56,479.007,546.562,125.67,80.4943,28.5679,2.5521,14.0553,60.9813,59.4479,58.974,0.0,81.7186,3.8259,3.5973,1.1577,,9.2946,3.0161,0.262354,0.345559,0.420678,0.766237,0.335561,0.1079,0.149514,0.721672,0.158323,4.37342,0.288536,-0.016,,74.5679,9.98734,-1.407,-0.322207,-0.338207,3.29094,9.613688826560974,3.7339998483657837,115.449,657.1,4.903731343,657.1,4.903731343,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,6.0,AL,Kevin McGonigle,805808.0,33572,33572
SEA,Mariners,119.55,478.435,541.929,130.873,91.0488,26.1363,0.785,12.9024,69.4885,53.6768,48.5026,1.6258,77.363,9.2128,3.4438,2.3342,,7.6435,2.6577,0.273543,0.3495,0.412357,0.761856,0.333965,0.0895,0.142755,0.626948,0.138814,3.83375,0.301241,-0.271,,73.2334,9.20033,-0.932,-0.531034,-0.802034,3.26535,12.695130705833435,0.5619999766349792,121.131,639.7,5.330833333,639.7,5.330833333,268.5799865722656,0.01538462,2B/OF,/players/brendan-donovan/24679/stats/batting,11.0,AL,Brendan Donovan,680977.0,24679,24679
TEX,Rangers,127.04,487.513,565.033,122.789,74.4263,24.8747,1.7766,21.7116,77.7584,68.1864,66.7304,2.8252,128.265,5.0853,3.9273,1.7773,,18.7984,5.5835,0.251869,0.3455,0.443787,0.789287,0.342109,0.1181,0.227004,0.520256,0.191918,5.18738,0.296013,0.627,,80.0916,13.3286,0.487,0.526349,1.15335,3.25426,15.548254370689392,-3.194999933242798,121.615,726.8,5.722834645,726.8,5.722834645,37.75,0.0,OF,/players/wyatt-langford/33333/stats/batting,13.0,AL,Wyatt Langford,694671.0,33333,33333
NYM,Mets,115.58,472.505,513.611,134.136,91.452,26.0658,1.2077,15.4105,62.8568,64.3692,33.0252,1.0272,86.9409,3.5953,3.604,0.8815,,4.7997,1.4418,0.283882,0.333034,0.442003,0.775037,0.33489,0.0643,0.169274,0.379858,0.158121,3.64012,0.317653,0.272,,69.7923,9.10515,2.919,-0.469214,-0.197214,3.22442,10.94051106274128,3.4929999113082886,118.296,617.2,5.320689655,617.2,5.320689655,92.86000061035156,0.04929577,SS,/players/bo-bichette/19612/stats/batting,25.0,NL,Bo Bichette,666182.0,19612,19612
SDP,Padres,135.99,541.566,598.523,143.873,91.1695,26.7287,0.4435,25.5313,74.3794,83.8376,49.1388,3.5911,116.653,2.9926,4.355,0.4713,,8.6048,2.5558,0.265661,0.327738,0.458084,0.785822,0.336924,0.0821001,0.194902,0.421238,0.192423,3.65122,0.293116,-0.545,,82.319,11.5988,-1.756,-0.248003,-0.793003,3.20635,13.484858632087708,-2.052000045776367,120.127,751.8,5.527941176,751.8,5.527941176,37.52000045776367,0.08641975,3B,/players/manny-machado/11493/stats/batting,29.0,NL,Manny Machado,592518.0,11493,11493
ATL,Braves,120.82,458.554,488.976,127.146,81.7128,22.4164,3.661,19.3556,60.3996,66.7533,21.4171,0.978,92.4445,3.9118,3.4605,1.6321,,15.1771,4.2309,0.277276,0.312869,0.468758,0.781627,0.333827,0.0437999,0.189057,0.231675,0.191483,5.91827,0.307784,0.621,,66.0226,8.24639,3.678,0.602595,1.2236,3.18945,9.21906578540802,5.691999912261963,113.796,609.7,5.038842975,609.7,5.038842975,99.06999969482422,0.0,OF,/players/michael-harris-ii/25931/stats/batting,16.0,NL,Michael Harris II,671739.0,25931,25931
ATH,Athletics,114.51,446.745,485.648,133.421,93.4159,27.7189,0.9703,11.3163,58.3998,57.7389,28.2647,0.4856,43.2002,5.8278,3.6983,1.1125,,4.4542,1.4847,0.298652,0.345721,0.441034,0.786755,0.341171,0.0582,0.0889537,0.654272,0.142382,3.58634,0.308403,0.053,,68.4692,11.0862,-0.307,-0.555734,-0.502734,3.18543,9.0816570520401,5.3319999277591705,116.744,594.9,5.173043478,594.9,5.173043478,196.44000244140625,0.0078125,SS,/players/jacob-wilson/33266/stats/batting,10.0,AL,Jacob Wilson,805779.0,33266,33266
ARI,Diamondbacks,95.65,359.417,404.725,99.018,69.056,18.874,1.4381,9.6499,46.9058,48.4553,38.7322,2.0236,68.397,3.2378,2.7303,0.6077,,3.8005,1.3632,0.275496,0.348879,0.416558,0.765437,0.333817,0.0957001,0.168996,0.566285,0.141062,3.6702,0.314565,0.34,,54.6437,6.82235,1.75,-0.517752,-0.177752,3.17095,6.190685421228409,8.829999923706055,113.276,481.0,5.010416666,481.0,5.010416666,181.22000122070312,0.09411765,C,/players/gabriel-moreno/22664/stats/batting,15.0,NL,Gabriel Moreno,672515.0,22664,22664
LAD,Dodgers,148.16,562.951,644.028,157.701,99.1708,33.4269,1.8626,23.2402,86.6986,91.5731,67.7518,7.7283,118.783,8.3724,4.4329,0.5202,,7.0676,1.9934,0.280132,0.363359,0.469976,0.833335,0.357373,0.1052,0.184437,0.570384,0.189844,4.02193,0.316109,-0.934,,99.2701,23.1732,-0.675,-0.509033,-1.44303,3.11972,22.147762894630432,-13.074999630451202,130.906,880.8,5.951351351,880.8,5.951351351,67.87999725341797,0.0,1B,/players/freddie-freeman/5361/stats/batting,22.0,NL,Freddie Freeman,518692.0,5361,5361
