Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
BAL,Orioles,137.712,489.231,559.479,122.543,79.3806,24.3854,1.22027,17.5564,66.3245,64.218,60.8043,1.83349,89.7204,3.83633,4.97806,0.62927,10.8542,1.06025,0.370127,0.25048,0.334944,0.41297,0.747914,0.326428,0.10868,0.160364,0.677708,0.16249,2.4981,0.27133,,,72.1815,6.07475,5.56,-0.8782,-0.8782,3.7893,6.278060555458069,11.495862007141113,110.853,641.2,4.646376811,641.2,4.646376811,148.92999267578125,0.19148936,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ATL,Braves,147.798,570.29,633.46,147.492,86.1491,28.6674,2.81336,29.8622,83.4106,90.7844,49.1388,0.907343,163.942,8.50599,4.99696,0.528318,9.94197,2.49677,0.86247,0.258626,0.324106,0.475851,0.799956,0.342869,0.077572,0.258804,0.299733,0.217224,3.57916,0.308349,,,90.182,15.3338,-0.75,-0.797132,-0.797132,3.72726,14.211580514907837,1.1506943702697754,119.991,811.4,5.482432432,811.4,5.482432432,59.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
SDP,Padres,142.942,554.01,606.448,150.485,92.4777,33.6768,1.93278,22.3974,77.0445,78.8601,41.1499,1.95891,120.419,3.15584,5.16144,2.97052,9.628,9.17492,2.44629,0.271628,0.32278,0.460677,0.783457,0.335547,0.067854,0.198564,0.341724,0.189048,4.46093,0.307639,,,82.7312,11.0747,0.13,-0.0568835,-0.0568835,3.68751,13.73227433115244,2.1398154497146606,119.184,746.3,5.218881118,746.3,5.218881118,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
SFG,Giants,152.154,568.5,648.568,133.013,77.7615,27.7361,1.26979,26.2456,81.2426,81.2208,68.1273,1.64134,168.668,3.69866,5.17189,0.498548,7.85144,11.2393,3.55455,0.233972,0.317335,0.425727,0.743061,0.322232,0.105043,0.260062,0.403914,0.191755,4.21599,0.281888,,,81.4656,4.83234,0.76,-0.18448,-0.18448,3.67213,6.516776189208031,7.804167032241821,108.718,733.8,4.827631578,733.8,4.827631578,133.92999267578125,0.00617284,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
LAA,Angels,148.061,567.428,633.931,141.091,83.7448,28.8499,2.1677,26.3288,85.1982,75.3318,43.3451,2.82842,158.305,16.0447,3.88331,3.23009,8.41587,26.8848,8.14784,0.248651,0.31787,0.446335,0.764205,0.329202,0.0683752,0.24972,0.273807,0.197684,5.86898,0.296792,,,83.2147,8.3109,-1.66,1.11402,1.11402,3.65374,8.690906643867493,5.1946762800216675,110.141,768.4,5.191891891,768.4,5.191891891,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
SFG,Giants,145.232,533.837,614.074,127.536,73.5318,28.0431,1.46938,24.4917,79.8502,75.3827,68.4426,1.06688,148.782,6.47849,4.78284,0.53288,9.02078,8.94831,2.58918,0.238904,0.329981,0.434577,0.764558,0.332241,0.111457,0.242287,0.460019,0.195672,4.37396,0.282045,,,82.1232,9.56565,1.2,-0.243645,-0.243645,3.57642,11.09152439236641,3.4412343502044678,115.574,726.0,5.006896551,726.0,5.006896551,163.6199951171875,0.0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
CIN,Reds,148.602,573.612,640.095,146.351,90.9736,30.1672,3.73025,21.4804,91.3093,69.6227,57.6651,4.96821,177.235,3.30258,3.97108,1.54384,9.14914,40.4472,9.71541,0.25514,0.324671,0.433081,0.757752,0.32599,0.0900883,0.276888,0.32536,0.177941,6.87754,0.32959,,,82.3545,6.72233,0.56,3.14055,3.14055,3.54807,6.189408540725708,7.200843393802643,104.019,781.8,5.246979865,781.8,5.246979865,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
CHC,Cubs,148.722,563.727,641.481,142.117,90.8301,27.7836,0.85647,22.6471,76.4821,80.7978,63.547,1.41746,90.5244,7.86241,5.41669,0.927871,12.074,2.2852,0.912465,0.252103,0.333347,0.424948,0.758296,0.330244,0.0990629,0.141118,0.701987,0.172846,2.54852,0.262012,,,84.7484,8.95245,0.48,-0.978324,-0.978324,3.42495,9.365615665912628,2.7750925719738007,113.605,751.3,5.042281879,751.3,5.042281879,119.16999816894531,0.00854701,3B,/players/alex-bregman/17678/stats/batting,17,NL,Alex Bregman,608324,17678,17678
HOU,Astros,136.865,538.105,589.806,146.664,100.51,27.6697,2.03608,16.4478,76.0174,65.2642,34.1642,0.749083,105.773,9.99972,3.92772,2.21095,12.8117,16.4818,3.9696,0.272556,0.325535,0.423243,0.748778,0.325216,0.0579244,0.179336,0.322995,0.150687,5.33621,0.310177,,,75.5133,5.82322,-0.37,0.720597,0.720597,3.41242,7.079831123352051,5.966342806816101,109.148,679.4,4.959124087,679.4,4.959124087,122.9800033569336,0.015625,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
ATH,Athletics,128.19,477.251,525.121,122.023,66.717,25.4014,1.48137,28.4236,70.9574,76.529,39.0627,1.11279,121.059,4.10073,3.96477,0.741458,7.31189,5.95473,1.76918,0.25568,0.315014,0.493782,0.808796,0.344247,0.0743881,0.230536,0.322675,0.238103,4.19145,0.282154,,,75.3458,13.2987,-3.75,-0.251612,-0.251612,3.37697,11.423247545957565,3.503549575805664,118.863,682.4,5.33125,682.4,5.33125,54.04999923706055,0.1328125,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
CHC,Cubs,153.21,564.479,629.707,138.591,87.7019,27.0994,1.59117,22.1986,79.027,76.6377,50.9286,0.981978,163.522,3.66328,4.45879,1.11136,10.138,15.2566,4.38946,0.24552,0.309822,0.417143,0.726965,0.315232,0.0808767,0.25968,0.311448,0.171623,5.00148,0.303725,,,75.5177,1.11294,2.07,0.320857,0.320857,3.36668,2.799745053052902,9.163055658340454,103.321,693.2,4.530718954,693.2,4.530718954,152.30999755859375,0.0,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
CHC,Cubs,146.987,561.938,618.578,136.871,82.0481,26.7319,5.94229,22.1483,87.1199,66.8797,36.2474,2.35162,154.018,8.06948,4.99429,7.32848,5.43734,35.2952,6.37895,0.243569,0.296421,0.430531,0.726952,0.311502,0.058598,0.248988,0.235345,0.186962,7.86044,0.293583,,,72.3098,-0.779943,5.81,3.62806,3.62806,3.36006,4.1899219155311584,8.078317642211914,100.766,706.2,4.804081632,706.2,4.804081632,32.939998626708984,0.00625,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
SDP,Padres,146.835,568.477,628.868,148.468,93.1508,27.3285,0.0365996,27.9522,79.2917,86.2925,51.5407,3.65653,120.776,2.29856,5.70057,0.631389,11.2354,8.19751,3.60208,0.261168,0.322137,0.456881,0.779018,0.333444,0.0819579,0.192053,0.426746,0.195713,3.22324,0.283267,,,84.7158,10.4102,-0.27,-0.781853,-0.781853,3.35512,12.443228840827942,-0.5655616819858551,117.744,768.3,5.226530612,768.3,5.226530612,37.52000045776367,0.08641975,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
PHI,Phillies,140.114,521.95,606.564,142.326,85.9506,28.3126,2.2459,25.8169,84.5399,85.5738,74.7115,7.59056,126.656,4.73179,4.18636,0.984179,11.4357,10.2882,3.83384,0.272681,0.36621,0.483918,0.850128,0.363347,0.123172,0.208809,0.589878,0.211237,4.49515,0.311802,,,96.4375,24.7673,0.39,-0.554157,-0.554157,3.35009,23.082643389701843,-10.512307524681091,132.879,858.0,6.128571428,858.0,6.128571428,47.900001525878906,0.01481481,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
