Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
ARI,Diamondbacks,156,571,673,150,104,29,4,13,91,69,79,1,90,8,7,9,,21,6,0.262617,0.35629,0.395689,0.751979,0.332226,0.117193,0.133613,0.877104,0.133072,5.77316,0.288377,0.758199,,90.0351,10.4799,0.205535,0.621701,1.3799,4.18631,11.10467791557312,7.4194237142801285,112.187,782.2,5.014102564,782.2,5.014102564,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
LAD,Dodgers,124,420,491,110,68,21,1,20,68,67,57,3,96,8,5,0,,2,1,0.261906,0.357143,0.457536,0.814679,0.352118,0.116327,0.194933,0.596751,0.19563,3.37261,0.291352,-1.53374,,73.6076,15.5764,1.77262,-0.839487,-2.37323,4.15482,13.521665096282959,10.753177165985107,127.306,646.6,5.214516129,646.6,5.214516129,95.69000244140625,0.00952381,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
CHC,Cubs,146,574,632,141,84,29,5,24,87,79,36,2,153,8,5,9,,34,8,0.245743,0.296746,0.437022,0.733768,0.314223,0.0562587,0.242036,0.232439,0.19128,7.37824,0.291541,3.31371,,75.284,0.599543,8.83338,2.87875,6.19246,4.1207,8.163085699081421,11.090788125991821,102.631,728.0,4.986301369,728.0,4.986301369,32.939998626708984,0.00625,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
SDP,Padres,143,566,618,153,94,31,4,23,79,83,41,2,121,4,5,2,,8,3,0.269286,0.319621,0.459006,0.778626,0.333343,0.0657333,0.195703,0.335883,0.18972,4.79855,0.303541,0.525967,,83.2462,10.1853,4.24412,-0.361023,0.164944,4.08625,13.11795736849308,6.256160497665405,117.675,761.5,5.325174825,761.5,5.325174825,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
HOU,Astros,126,464,546,135,78,27,1,29,76,84,69,10,92,7,6,0,,3,1,0.291444,0.385655,0.539788,0.925444,0.389473,0.125519,0.168783,0.743667,0.248344,2.98394,0.304746,-1.46259,,98.4211,33.8866,-0.61574,-0.764215,-2.2268,4.01335,32.156148195266724,-11.734257996082306,153.412,879.5,6.98015873,879.5,6.98015873,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
TEX,Rangers,146,548,632,137,81,29,2,25,87,77,74,3,148,5,4,1,,24,6,0.250647,0.343088,0.448922,0.79201,0.342731,0.116803,0.234156,0.498823,0.198275,5.65991,0.295972,1.29292,,89.9135,15.2291,1.2649,1.40376,2.69669,3.91034,19.118571758270264,-2.6610289812088013,122.044,815.5,5.585616438,815.5,5.585616438,37.75,0.0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
HOU,Astros,141,556,608,152,105,28,2,17,79,66,36,1,108,11,4,2,,18,4,0.273266,0.327362,0.422193,0.749555,0.325779,0.0584449,0.178224,0.327929,0.148928,5.38275,0.31063,1.12091,,78.0717,6.27699,0.653049,0.814868,1.93577,3.77003,8.76496970653534,7.1632344126701355,109.536,711.6,5.04680851,711.6,5.04680851,122.9800033569336,0.015625,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
SFG,Giants,153,572,660,136,80,30,2,25,87,78,75,1,162,7,4,1,,9,3,0.237733,0.331547,0.425979,0.757526,0.330355,0.114191,0.245319,0.465479,0.188246,4.40429,0.285704,-0.490476,,87.1957,9.26414,1.37401,-0.340963,-0.83144,3.68311,10.333281755447388,3.7295655012130737,114.282,777.7,5.083006535,777.7,5.083006535,163.6199951171875,0.0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
PHI,Phillies,151,562,653,153,90,34,1,28,89,91,80,8,139,5,5,0,,10,4,0.272032,0.365327,0.485856,0.851182,0.363638,0.122834,0.213137,0.576314,0.213824,3.59709,0.312045,-0.218039,,103.925,26.8049,0.827272,-0.597242,-0.815281,3.63766,24.773117005825043,-10.92596834897995,133.078,925.1,6.126490066,925.1,6.126490066,47.900001525878906,0.01481481,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
CHC,Cubs,153,579,660,147,94,29,1,23,82,82,68,2,92,8,5,0,,2,1,0.253772,0.337723,0.428531,0.766253,0.333733,0.102349,0.14016,0.730231,0.174758,2.881,0.264112,-1.62872,,89.0045,11.0729,1.31905,-1.02477,-2.65349,3.62805,9.85009503364563,3.67460560798645,115.995,779.2,5.092810457,779.2,5.092810457,119.16999816894531,0.00854701,3B,/players/alex-bregman/17678/stats/batting,17,NL,Alex Bregman,608324,17678,17678
NYM,Mets,149,597,646,170,118,32,2,18,80,82,41,1,106,4,4,1,,6,2,0.285622,0.333508,0.437671,0.771178,0.333699,0.0632257,0.163472,0.386768,0.152048,3.56674,0.318999,-0.609361,,87.1326,10.8246,0.36317,-0.872212,-1.48157,3.52239,11.898824095726013,1.0502068102359772,117.481,769.2,5.162416107,769.2,5.162416107,92.86000061035156,0.04929577,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
CHC,Cubs,156,608,673,147,95,26,2,23,84,80,56,1,170,4,4,1,,17,4,0.24155,0.307753,0.407693,0.715446,0.311086,0.0836755,0.253142,0.330548,0.166143,5.08332,0.295044,1.16989,,78.479,-1.07616,2.43673,0.744336,1.91423,3.51361,2.2985731065273285,9.650616645812988,100.482,719.3,4.610897435,719.3,4.610897435,152.30999755859375,0.0,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
SFG,Giants,154,585,666,135,80,27,1,27,85,85,71,2,169,4,5,0,,12,4,0.231267,0.316355,0.418353,0.734709,0.319236,0.107255,0.253096,0.423773,0.187086,4.32387,0.27498,-0.133575,,82.0876,3.34427,-0.342498,-0.0895546,-0.22313,3.47899,5.04151839017868,6.797779858112335,106.665,745.4,4.84025974,745.4,4.84025974,133.92999267578125,0.00617284,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
MIN,Twins,127,494,550,123,64,26,4,29,82,76,43,3,149,8,4,1,,16,3,0.249192,0.317495,0.491984,0.80948,0.343927,0.0779156,0.271646,0.286828,0.242793,6.56186,0.294961,2.14888,,78.7195,13.7765,-1.61698,1.41574,3.56462,3.46746,16.976907968521118,-2.0095709562301636,120.704,740.6,5.831496062,740.6,5.831496062,73.4800033569336,0.0620155,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
NYY,Yankees,137,524,591,125,75,19,2,28,81,77,57,2,157,5,4,1,,33,8,0.23845,0.316759,0.44559,0.762349,0.328633,0.0960888,0.26585,0.36144,0.20714,6.23849,0.282497,2.3497,,77.2864,7.47274,-1.67643,2.37269,4.72239,3.44766,13.117135047912598,0.23745906352996826,112.055,732.0,5.343065693,732.0,5.343065693,19.520000457763672,0.0,2B/OF,/players/jazz-chisholm-jr/20454/stats/batting,9,AL,Jazz Chisholm Jr.,665862,20454,20454
ATH,Athletics,129,468,514,119,65,24,1,29,68,74,38,1,116,4,4,1,,5,1,0.253477,0.312495,0.493597,0.806092,0.342891,0.0741747,0.226472,0.327522,0.24012,3.80353,0.275449,-0.360413,,73.1985,12.4537,-2.33984,-0.226815,-0.587227,3.36859,10.2766632437706,4.947654485702515,117.929,679.0,5.263565891,679.0,5.263565891,54.04999923706055,0.1328125,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
KCR,Royals,151,588,653,158,109,32,4,13,85,67,54,0,97,2,5,3,,27,7,0.26802,0.329135,0.401395,0.73053,0.319041,0.0830118,0.148715,0.558192,0.133375,6.13783,0.299733,1.86967,,80.2916,3.17178,3.51655,1.42016,3.28983,3.34653,4.291533708572388,5.945720434188843,101.302,734.3,4.862913907,734.3,4.862913907,63.150001525878906,0.03333333,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
